Ticket Nr.,Ticket type,Mandant,ticket_creator=3 // response=1,Ticket text,Ticket state,META Data
2019022863000110,Anmeldung / Aktivierung,AGVS,3,Bitte deaktivieren Sie dieses Gerät. Vielen Dank.,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPad | Platform: iPad53 | System Name: iOS | System Version: 12.1.1 | First install: 2018-11-22 11:11:53 MEZ | Application starts: 24 | Unique Device : 04ff9f27f995fd9b97a6bde91322c513 | UI Type: Extended | 
2019022863000100,Anmeldung / Aktivierung,BEOOK,3,Diese sind meine aktivierungscodes: Gesellschaft: 36837eb23e62 noch nicht aktiv und ich hatte noch ein lehrmittel vom garten aber der code steht nirgends,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPhone | Platform: iPhone104 | System Name: iOS | System Version: 11.3.1 | First install: 2019-02-28 11:45:33 MEZ | Application starts: 0 | Unique Device : a69b6e637ce8b8c56c381fe7f5263c9e | UI Type: Simple ? | 
2019022863000100,Anmeldung / Aktivierung,BEOOK,1,Guten Tag corina gisler Besten Dank für Ihre Anfrage. Ich konnte leider unter folgenden E-Mailadressen keinen Benutzer finden:\xxx@xxx.xx\xxx@xxx.xx Da Sie ihre Aktivierungscodes noch nicht eingelöst haben empfehle ich Ihnen ein neues Konto zu erstellen. Falls Sie danach weiterhin Probleme haben sollten senden Sie bitte erneut eine Support-Anfrage. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 28.02.2019 12:33 - xxx@xxx.xx schrieb: ich kann mich nicht mehr anmelden. Diese sind meine aktivierungscodes: Gesellschaft: 36837eb23e62 noch nicht aktiv und ich hatte noch ein lehrmittel vom garten aber der code steht nirgends  ,closed successful,User account exists: Yes | | App: beook v5.5.1 | Jailbroken: No | Model: iPhone | Platform: iPhone104 | System Name: iOS | System Version: 11.3.1 | First install: 2019-02-28 11:45:33 MEZ | Application starts: 0 | Unique Device : a69b6e637ce8b8c56c381fe7f5263c9e | UI Type: Simple ? | 
2019022863000050,Anmeldung / Aktivierung,hep,3,Lösungen können nicht angeschaut werden,closed_waiting_for_reply,App: eLehrmittel 5.4.6 | Model: 8 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-21 13:59:59 MESZ | Last install: 2018-11-08 10:24:45 MEZ | Application starts: 27 | Unique Device : e0d36407861e0380cc236a6a83577010 | 
2019022863000050,Anmeldung / Aktivierung,hep,1,Vielen Dank für Ihre Support-Anfrage. Könnten Sie uns noch Ihr technisches Problem schildern damit wir Ihnen weiterhelfen können? Besten Dank und freundliche Grüsse hep Support Ihr hep Support Team ___________________  hep verlag ag Gutenbergstrasse 31 Postfach 3001 Bern T 031 310 29 29 [1]www.hep-verlag.ch 28.02.2019 11:10 - xxx@xxx.xx schrieb: Mit einer detaillierten Fehlerbeschreibung helfen Sie uns diese App weiter zu verbessern. 1. Bitte wählen Sie die Art des Fehlers in der Auswahlliste aus und ergänzen Sie den Text in diesem Fenster. 2. Mit Ihrer Anfrage senden Sie eine Logdatei die neben einem Fehlerprotokoll auch Daten über Ihr Gerät enthält. Lösungen können nicht angeschaut werden 3. Weitere Informationen wie Screenshots können Sie als Antwort auf das Bestätigungsmail übermitteln. 4. Sollten Sie kein Bestätigungsmail erhalten dann prüfen Sie bitte Ihre Email Adresse und senden gegebenenfalls nochmals eine Support-Anfrage. [1] http://www.hep-verlag.ch/,closed_waiting_for_reply,App: eLehrmittel 5.4.6 | Model: 8 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-08-21 13:59:59 MESZ | Last install: 2018-11-08 10:24:45 MEZ | Application starts: 27 | Unique Device : e0d36407861e0380cc236a6a83577010 | 
2019022863000040,Anmeldung / Aktivierung,BEOOK,1,Guten Tag Frau Baumann Der angegebene Aktivierungscode wurde bereits von einem anderen Benutzer: [1]xxx@xxx.xx eingelöst. Bitte wenden Sie sich an diejenige Person von dem Sie den Aktivierungscode erhalten haben damit  Sie einen neuen erhalten. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 28.02.2019 10:46 - xxx@xxx.xx schrieb: Falls Sie ein Problem mit der Anmeldung oder dem Aktivierungscode haben beschreiben Sie bitte die Fehlermeldung und geben Sie Ihren Aktivierungscode an. Aktivierungscode adh4-fwcn-54tb wird als ungültig gemeldet wurde aber noch nicht eingelöst. [1] https://license.ioneaccess.ch/hd/#,closed successful,App: beook 5.5.0 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.12.6 | First install: 2019-01-08 15:14:51 MEZ | Last install: | Application starts: 6 | Unique Device : 3ab216242d119ce13e276498e583eda9 | 
2019022863000020,Geräteanzahl überschritten,BEOOK,3,Ich habe einen neuen Laptop und möchte den alten zurücksetzen damit ich das E-Lehrmittel auf meinem neuen Gerät freischalten kann. Können Sie mir helfen? Vielen Dank!,closed successful,App: beook 5.5.0 | Model: 2 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2019-02-28 08:20:12 MEZ | Last install: | Application starts: 3 | Unique Device : 190d4a43f5b0253370f87ad723c37cf8 | 
2019022863000020,Geräteanzahl überschritten,BEOOK,1,Guten Tag Christofe Paca Wir haben alle Ihre Geräte auf dem Lizenzserver ausgetragen. Sie können die App nochmals neu starten dann wird Ihr Gerät automatisch wieder registriert. Bei allfälligen Problemen senden Sie bitte eine neue Support-Anfrage damit wir die Protokoll-Datei prüfen können. Anderernfalls gehen wir davon aus dass sich Ihr Problem gelöst hat und schliessen das Ticket. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 28.02.2019 08:57 - xxx@xxx.xx schrieb: Guten Tag Ich habe einen neuen Laptop und möchte den alten zurücksetzen damit ich das E-Lehrmittel auf meinem neuen Gerät freischalten kann. Können Sie mir helfen? Vielen Dank! Christofe Paca,closed successful,App: beook 5.5.0 | Model: 2 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2019-02-28 08:20:12 MEZ | Last install: | Application starts: 3 | Unique Device : 190d4a43f5b0253370f87ad723c37cf8 | 
2019022763000130,Anmeldung / Aktivierung,BEOOK,1,Guten Tag Ibrahimi Muhamed Danke für Ihre Anfrage. Von uns erhalten Sie leider keinen Aktivierungscode. Sie müssten sich nochmals an die Instanz wenden von der Sie den ersten Code erhalten haben. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 27.02.2019 22:32 - xxx@xxx.xx schrieb: Hallo bin der Muhamed Ibrahimi ich habe den zugangs code mal geschickt bekommen aber leider mein mail mit dem code gelöscht und were sehr froh wen sie mir einen neuen schicken könten bis am 28.2.19 den an dem tag habe ich schule und breuchte den code umbedingt mfg muhamed,closed successful,App: beook 5.4.8 | Model: 2 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2018-12-13 16:17:00 MEZ | Last install: 2019-02-27 22:24:29 MEZ | Application starts: 9 | Unique Device : 92c767bce7afddf6a336ec0cb5b6f5e3 | 
2019022763000120,Fehler in der App,VELEDES,3,,closed_waiting_for_reply,App: beook 5.5.0 | Model: 8 cores | Platform: armv8l | System Name: Linux | System Version: 3.18.14-14598547 | First install: 2019-01-15 15:13:40 MEZ | Last install: 2019-01-15 15:13:40 MEZ | Application starts: 39 | Unique Device : 0e5406da47fcf706c5e382b84dc10381 | 
2019022763000120,Fehler in der App,VELEDES,1,,closed_waiting_for_reply,App: beook 550 | Model: 8 cores | Platform: armv8l | System Name: Linux | System Version: 31814-14598547 | First install: 2019-01-15 15:13:40 MEZ | Last install: 2019-01-15 15:13:40 MEZ | Application starts: 39 | Unique Device : 0e5406da47fcf706c5e382b84dc10381 | 
2019022763000080,Geräteanzahl überschritten,BEOOK,3,Offenbar habe ich die Geräteanzahl überschritten. Ich habe einen neuen Laptop gekauft und möchte mit dem Fachkundebuch auf dem neuen Laptop arbeiten. Was muss ich nun machen damit ich Zugriff habe? Vielen Dank für ihr Feedback. Freundliche Grüsse,closed successful,App: beook 5.5.0 | Model: 8 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-05-08 10:27:02 MESZ | Last install: 2019-02-25 13:55:50 MEZ | Application starts: 23 | Unique Device : d5c65fa3a1c586088a8b7196df12e3dc | 
2019022763000080,Geräteanzahl überschritten,BEOOK,1,Guten Tag Jean-Claude Zimmermann Wir haben alle Ihre Geräte auf dem Lizenzserver ausgetragen. Sie können die App nochmals neu starten dann wird Ihr Gerät automatisch wieder registriert. Bei allfälligen Problemen senden Sie bitte eine neue Support-Anfrage damit wir die Protokoll-Datei prüfen können. Anderernfalls gehen wir davon aus dass sich Ihr Problem gelöst hat und schliessen das Ticket. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 27.02.2019 14:41 - xxx@xxx.xx schrieb: Sehr geehrte Damen und Herren Offenbar habe ich die Geräteanzahl überschritten. Ich habe einen neuen Laptop gekauft und möchte mit dem Fachkundebuch auf dem neuen Laptop arbeiten. Was muss ich nun machen damit ich Zugriff habe? Vielen Dank für ihr Feedback. Freundliche Grüsse Jean-Claude Zimmermann,closed successful,App: beook 5.5.0 | Model: 8 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-05-08 10:27:02 MESZ | Last install: 2019-02-25 13:55:50 MEZ | Application starts: 23 | Unique Device : d5c65fa3a1c586088a8b7196df12e3dc | 
2019022763000070,Anmeldung / Aktivierung,hep,3,Das Problem können wir nicht beheben da die eLehrmittel nicht mehr erscheinen und kein Download möglich ist. Vielen Dank für die Hilfe.,closed_waiting_for_reply,App: eLehrmittel 5.4.6 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.12.6 | First install: 2018-08-08 09:16:13 MESZ | Last install: 2019-02-13 12:21:44 MEZ | Application starts: 32 | Unique Device : 5b83b9d141f65256bee349cc8a62e852 | 
2019022763000070,Anmeldung / Aktivierung,hep,1,per Mail geantwortet/warte auf Antwort.,closed_waiting_for_reply,App: eLehrmittel 5.4.6 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.12.6 | First install: 2018-08-08 09:16:13 MESZ | Last install: 2019-02-13 12:21:44 MEZ | Application starts: 32 | Unique Device : 5b83b9d141f65256bee349cc8a62e852 | 
2019022763000040,Anmeldung / Aktivierung,VELEDESLK,1,Guten Tag Maica Schifa Vielen Dank für Ihre Nachricht. Ihr Registrierungscode 8cur-mstc-8joe  ist für das SBK Lehrmittel. Sie haben jedoch die VELEDES Lernkarten heruntergeladen. Dort funktioniert dieser Code nicht. Den Aktivierungscode für das Lernkartenapp müssen Sie kostenpflichtig erwerben. Für Ihren Lizenzcode müssen Sie das beook App herunterladen und sich mit dem bereits erstellten Benutzername/ E-Mail Adresse anmelden. Und danach ihren Aktivierungscode einlösen. Bei weiteren Fragen dürfen Sie sich gerne an uns wenden. Freundliche Grüsse Veledes Support Veledes Bildung 27.02.2019 13:06 - xxx@xxx.xx schrieb: Wenn ich mich anmelde und den Aktivierungscode eingeben muss steht dass ungültig ist. Mein Aktivierungscode ist: 8cur-mstc-8joe. Ich warte auf ihre Antwort.,open,User account exists: Yes | | App: VELEDESLK v1.2.1 | Jailbroken: No | Model: iPhone | Platform: iPhone105 | System Name: iOS | System Version: 12.1.3 | First install: 2019-02-27 10:25:27 MEZ | Application starts: 0 | Unique Device : a310dc7a2d8f3bf06038f3f0d734ac1d | UI Type: Simple ? | 
2019022763000040,Anmeldung / Aktivierung,VELEDESLK,3,Wenn ich mich anmelde und den Aktivierungscode eingeben muss steht dass ungültig ist. Mein Aktivierungscode ist: 8cur-mstc-8joe.,open,User account exists: Yes | | App: VELEDESLK v1.2.1 | Jailbroken: No | Model: iPhone | Platform: iPhone105 | System Name: iOS | System Version: 12.1.3 | First install: 2019-02-27 10:25:27 MEZ | Application starts: 0 | Unique Device : a310dc7a2d8f3bf06038f3f0d734ac1d | UI Type: Simple ? | 
2019022763000010,Fehler in der App,SVBA,1,"   Wenn Sie Inkscape als externen Zeichnungseditor nutzen möchten dann verwenden Sie bitte die aktuelle Version von der Inkscape Webseite. Es besteht ein Problem mit der Inkscape Version aus dem Windows App Store die Anreicherungen werden nicht übernommen und das Bild lässt sich nicht ein zweites mal öffnen. Fall Sie bereits die Version aus dem Windows App Store installiert haben dann deinstallieren Sie zuerst die Inkscape App und installieren danach die Inkscape Version von der offiziellen Webseite [1]https://inkscape.org/en/release/. Diese funktioniert problemlos im Zusammenspiel mit beook. Anmerkung: Möglicherweise können Sie das zuvor bereits bearbeitete Bild nachträglich nicht noch einmal bearbeiten. Ein Restart des PCs kann hier helfen. Alternativ können Sie auch ein Bildschirmfoto erstellen und dieses als Foto auf eigener eigenen Seite einfügen welches Sie danach ebenso bearbeiten können. Oder Sie nehmen den Sketchpad Editor für diese Abbildung. Bitte überprüfen Sie die korrekte Funktion von Inkscape mit einem anderen Bild welches Sie noch nie bearbeitet haben. Häufiger Fehler: Klicken Sie im kleinen Popup auf \""Änderungen übernehmen\"" erst nachdem Sie in Inkscape die Zeichnung gespeichert haben. Der Dialog muss dabei offen bleiben. Bezüglich fehlender Annotationen: - Die Speicherung von Annotationen erfolgt nach dem Seitenwechsel. - Nach einem Kapitelwechsel werden die Notizen in der Cloud gespeichert. Es ist also wichtig dass Sie die App nach dem Erstellen von Notizen nicht einfach beenden sondern vorher zumindest die Seite wechseln. Freundliche Grüsse Sabrina Hayoz ionesoft GmbH 2nd Level Support  Sie können auf diese E-Mail antworten um weitere Informationen oder einen Screenshot des Problems zu übermitteln. Bitte verändern Sie dabei und beim Antworten auf E-Mails von uns nicht den Betreff.  27.02.2019 09:41 - xxx@xxx.xx schrieb: Guten Tag Zeichnungen werden vom Inkscape manchmal nicht übernommen ausserdem verschwinden viele ausgefüllte sachen trotz der Synchronisierung der Cloud würde mich über eine schnelle Lösung freuen [1] https://inkscape.org/en/release/ ",closed successful,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2017-09-10 20:38:17 MESZ | Last install: 2019-01-09 08:36:24 MEZ | Application starts: 147 | Unique Device : 412e4ea893bc1d2cbb37fe14994620de | 
2019022763000010,Fehler in der App,SVBA,3,Zeichnungen werden vom Inkscape manchmal nicht übernommen ausserdem verschwinden viele ausgefüllte sachen trotz der Synchronisierung der Cloud,closed successful,App: beook 5.5.0 | Model: 4 cores | Platform: x86 | System Name: Windows 10 | System Version: 10.0 | First install: 2017-09-10 20:38:17 MESZ | Last install: 2019-01-09 08:36:24 MEZ | Application starts: 147 | Unique Device : 412e4ea893bc1d2cbb37fe14994620de | 
