Ticket Nr.;Rating (1= sehr gut, 2= mittel, 3=nicht brauchbar);Ticket type;Mandant;Ticket text;Status;Template
2019022463000031; ;Fehler in der App;hep; Ich kann in der Klasse F18-KSS den Bildschirm nur verschieben wenn ich zwei Finger verwende. Der Balken rechts zum Scrollen funktioniert nicht. Besten Dank für Ihre Unterstützung. Freundliche Grüsse ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022463000012; ;Fehler in der App;BWZ;   Mein problem ist dass ich selbst wenn ich mit dem internet verbunden bin nur 10 Seiten anschauen kann .Und das andere Problemdas ich noch habe ist das ich nicht mehr zwischen z.B dem Wissen und derm Darstellen wechseln kann. ;closed_max_devices;Linux
2019022163000107; ;Geräteanzahl überschritten;DIHK; Bitte iphone und ipad entfernen. ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022163000081; ;Anmeldung / Aktivierung;SVBA;Ich kann das Kapitel Technisches Englisch nicht herunterladen es Steht immer unvollständige Installation;closed successful;Coupon einlösen Produkte nicht vorhanden
2019022163000063; ;Fehler in der App;hep; Leider fehlen mir paar Kapitel im Lehrmittel LM-A D. Eins davon brauche ich jetzt in der Schule Heizungs- und Lüftungsanlagen Ich habe die App mehrfach gelöscht und neu installiert funktioniert trotzdem nicht. Computer habe ich auch schon heruntergefahren. Ich bitte Sie um Hilfe. Ich wünsche Ihnen einen schönen Tag. Freundliche Grüsse ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022163000054; ;Fehler in der App;SVBA; Ich kann die Bilder nicht mehr öffnen um mit dem Editorprogramm diese zu bearbeiten. Freundliche Grüsse ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019022163000036; ;Fehler in der App;Swissmem;Normenauszug 2018 Rechenbuch Metall Tabellenbuchs Metall Fechkundebuch Metall MachineWorld Topdesign Automation Control Konstrukteur 1 Konstrukteur 2 und Konstrukteur 3 funktionieren nicht mehr. Es kommt die Meldung „nicht mehr Seiten kostenlos verfügbar“. Habe alle Bücher bezahlt und bis vor kurzem haben alle funktioniert. ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019022163000027; ;Geräteanzahl überschritten;Swissmem; Kürzlich habe ich mir ein neues Notebook gekauft weil mein altes nicht mehr funktionierte. Auch mein Handy ist mir leider abhanden gekommen. Nicht gerade mein bester Monat zugegeben. Deshalb möchte ich Sie bitten meine alten Geräte zu löschen damit ich mich auf meinen neuen Geräten neu anmelden und die Applikationen neu installieren kann. Besten danke im voraus für die schnelle Hilfe Freundlicher Gruss ;closed_max_devices;Mac: Access Denied -> Cookies Virenscanner
2019022063000136; ;Anmeldung / Aktivierung;BEOOK;Mein Aktivitungscode wurde angeblich schon verwendet abe ich aber noch nicht. ;closed successful;Anmeldung - Hinweise für Aktivierung
2019022063000127; ;Fehler in der App;DIGINALE;  Voucher kann nicht aktiviert werden ;closed successful;Linux
2019022063000092; ;Fehler in der App;SVBA; Ich habe ein Problem Wenn ich die beook App schliesse speichert es meine zuvor gelösten Daten nicht. Ausser die Zeichnungen die speichert es und die kann ich nachdem ich das Programm neu gestartet habe wieder sehen. Bitte um raschen Support Freundliche Grüsse M.Arnold  ;closed_waiting_for_reply;Coupon einlösen Produkte nicht vorhanden
2019022063000065; ;Fehler in der App;SVBA; Die Funktion Seitenleiste Ordnen geht nicht mehr. Man kann das Fenster öffnen die Leiste bearbeiten. Die Leiste wird aber nicht angepasst. Ist das ein Bug? ;closed_waiting_for_reply;Coupon einlösen Produkte nicht vorhanden
2019022063000047; ;Fehler in der App;DIGINALE;  Die modulaktivierung mit Voucher Code funktioniert nicht ungültig  ;closed successful;Linux
2019022063000038; ;Anmeldung / Aktivierung;SVBA; Ich habe das Problem dass bei mir alle Seiten des Auszugs genutzt sind obwohl ich die Lizenz dafür erworben habe. Ich hoffe sie können mir weiterhelfen. Mit freundlichen Grüssen ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019021963000166; ;Anmeldung / Aktivierung;DIHK;Meine Email ist nicht Verfügbar. Auch nur mit dem Anmeldenamen geht es nicht. IHK Passwort wfw-018-06 möchte auch nicht. ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021963000139; ;Anmeldung / Aktivierung;BWZ; 1. Komme ins book kann aber kein Lehrmttel sehe. 2. habe eine Diagnosegemacht diese ist aper alles postitiv habe mich angemeltet Neu und es ist immer noch gleich 3. Ich kann ohne das olinlehrmittel über diese App nich am Schulunttericht mitarbeiten!!!!!!!! ;closed successful;Linux
2019021963000121; ;Geräteanzahl überschritten;SVBA;Bei mir zeigt es bei einigen Büchern Geräteanzahl überschritten. Ich habe aber nie ein weiteres Gerät angemeldet. Zudem sollte dies ja sonst bei allen Büchern der Fall sein. Ich habe zwei Geräte angemeldet davon brauche ich eigentlich nur eines. Freundliche Grüsse ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019021963000111; ;Fehler in der App;Swissmem;Mir Löschtes Immer alle Eingaben beim Buch GG!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019021963000068; ;Anmeldung / Aktivierung;hep;"   Guten Tag In meiner App kam der Hinweis dass eine neue Version des Lehrmittels \""Gesellschaft A\"" zur Installation bereit ist. Die Installation konte aber nicht gemacht werden Kein Hinweis \""Erfolgreich aktualisiert\"". Zuerst hatte ich die Vermutung dass im Netzwerk Kanton Luzern etwas neu gesperrt ist. Aber gestern habe ich die gleiche Aktualisierung auf meinem privaten Laptop von zu Hause aus auch versucht. -> Ebenfalls ohne Erfolg. Ist meine Lizenz nicht mehr gültig? Gibt es Problemem auf Seiten HEP? Besten Dank für eine Rückmeldung. Freundliche Grüsse ";closed_app_misuse;Mac: Access Denied -> Cookies Virenscanner
2019021963000059; ;Geräteanzahl überschritten;DIGINALE;" Bei der Buchung des Seminars \""Digitalisierung verstehen und nutzen\"" kommt die Fehlermeldung \""Geräteanzahl überschritten\"". ich nutze jedoch immer nur ein Smartphone Samsung. Bitte um Fehlerbehbung. Vielen Dank. Beste Grüße ";closed successful;Linux
2019021963000022; ;Anmeldung / Aktivierung;DIGINALE; Wie lange dauert es bis man einen Aktivierungscode erhält und wie kommt man an die Voucher? Ich frage da ich gerade im Zug sitze und heute Morgen Ihr Angebot über das Wissensmanagement Portal erhalten habe. Vielen Dank ;closed successful;Linux
2019021963000013; ;Geräteanzahl überschritten;SVBA; Ich habe ein Problem mit der Geräteanzahl überschritten. Ich kaufte mir vor kurzem ein neues Gerät mit dem ich Ihnen auch diese Anfrage schreibe und habe für 3 ebooks keine Lizenzen mehr. Wäre es möglich eine weitere Lizenz zu erhalten damit ich mein altes Gerät nicht mehr benötige? Ein weiteres Problem ist das mein Handy auf dem ich auch Beook instaliert habe die ganzen ebooks neu heruntergeladen hat und ich jetzt dort auch keine Lizenzen mehr habe. ich benötige eine Lizenz auf diesem Gerät und auf meinem Handy. Mit freundlichen Grüssen ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019021863000141; ;Fehler in der App;DIGINALE;Das erste Intro in dieser App habe ich nun zum 5. mal versucht zu Ende zu schauen. Die App bleibt immer hängen und kann nicht endgültig beendet werden. Den Fehler habe ich schon mehrfach gemeldet. Leider ergebnislos. Der Fehler ist nicht reproduzierbar aber extrem störend da ich den Punkt gerne mal abschließen würde. Ich hoffe die restlichen Tutorials etc. sind qualitativ besser?!? ;closed successful;Linux
2019021863000097; ;Anmeldung / Aktivierung;hep; Guten Tag Der Anmeldecode für mein eLehrmittel ist ungültig. Es ist ein W&G Ausgabe. Dritte Auflage  ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021863000088; ;Anmeldung / Aktivierung;hep; Hallo mein Coupon ist ungültig.  ;closed_app_misuse;Mac: Access Denied -> Cookies Virenscanner
2019021863000079; ;Fehler in der App;DIHK;Hallo die App stürzt neuerdings regelmäßig ab. Allein während ich diese Rückmeldung gebe schon 2x. Ich hoffe dass liegt nicht an dem neuen Release? Viele Grüße Marion Vohwinkel  ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021763000062; ;Geräteanzahl überschritten;Swissmem; Ich habe Alle Bücher auf meinem Alten PC deinstaliert um sie auf mein neues Gerät zu laden doch das ging leider nicht ;closed_max_devices;Mac: Access Denied -> Cookies Virenscanner
2019021763000053; ;Geräteanzahl überschritten;DIHK;" wie in der Problemart beschrieben ist der Fehler \""Geräteanzahl überschritten\"". Handy 2x Tablet Laptop sind wohl zu viel wie auch imemr ich würde ja regestrierte Geräte wieder löschen nur wie? ";closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021763000035; ;Fehler in der App;DIHK;Eine Markierung von Textteilen ist außschließlich in der linken Spalte möglich. Ein Markieren von Textteilen aus der rechten Spalte ist nicht möglich. ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019021763000017; ;Geräteanzahl überschritten;VSRT-BBZ; Ich wollte sie darum Bitten die 2 Geräte zu Deaktivieren da die Geräte nicht mehr gebraucht werden können und ich jetzt gerne ein anderes Gerät Benutzen möchte da die momentanen Geräte Defekt sind. Für Ihre Bemühungen Danke ich ihnen. Mit freundlichen Grüssen ;closed successful;Floating Lizenz Geräte entfernt Konfiguration
2019021663000019; ;Geräteanzahl überschritten;BEOOK; Habe das Notebook gewechselt ich bitte um das freigeben meines Gerätes um das Beook zu nutzen. Vielen herzlichen Dank Freundliche Grüsse Beat ;closed_max_devices;Mac: Access Denied -> Cookies Virenscanner
2019021563000119; ;Fehler in der App;BWZ; Mir und vielen anderen Schüler meiner Klasse haben schon mehrmals erlebt dass durch das farbige Markieren bei Beook die ganze Seite plötzlich gelb wurde. Das ist überaus mühsam ich bitte Sie das zu ändern. Freundliche Grüsse ;closed successful;Linux
2019021563000093; ;Fehler in der App;BWZ;Ich kann es nicht markiere. wenn ich es mache blockiert es alles . Ich kann nicht auf meine bilder drauf klicken um notizen zu machen es passiert nichts ;closed successful;Linux
2019021563000084; ;Fehler in der App;BWZ; Ich habe ein Problem. Ich kann seit gut einem Monat nichts mehr richtig markieren. Es markiert nur noch teilweise oder gar nicht mehr. Auch kann ich manchmal die falsch markierten Wörter/Abschnitte nicht mehr rückgängig machen indem ich die Markierung lösche. Nebenbei habe ich heute in der Schule bemerkt dass ich die schon im Skript enthaltenen Fotos und Bilder nicht mehr öffnen und somit diese auch nicht mehr bearbeiten kann. Beides ist sehr nervig da ich diese Funktionen während dem Unterricht zur Verfügung haben müsste. Ich habe auch keine Info bekommen ob es ein neues Update gegeben hat welches ich herunterladen müsste um die Probleme zu beheben. Hat es überhaupt ein neues Update gegeben Ich habe das Beook auf dem Stand 5.5.0 Ich hoffe ihr könnt diese Probleme möglichst bald beheben oder mir einen Tipp geben was ich machen kann. Herzlichen Dank ;closed successful;Linux
2019021563000066; ;Anmeldung / Aktivierung;BEOOK; Wir haben auf unserem IPad schon das Problem mit dem Grundlagenbuch zu installieren. Jetzt wollten wir es auch auf dem Laptop versuchen. Leider erfolglos. Meldung: Daten können nicht herunter geladen werden. Stellen sie eine sichere Internetverbindung her. Vielen Dank für ihre Abklärung Freundliche Grüsse ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021563000048; ;Anmeldung / Aktivierung;RICHM;Wir konnten das beook mit allen Fachblätter und Grundlagenbuch auf unserem PC installieren. Leider hat es auf unserem IPad nicht funktioniert. Die Fachblätter hat es geladen aber das Grundlagenbuch installiert es nicht. Liebe Grüsse ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019021463000095; ;Anmeldung / Aktivierung;BWZ;Ich konnte letztes mal innerhalb der App nicht das Kapitel wechseln also habe ich die ebook gelöscht und jetzt kann ich es nicht mehr neu installieren.;closed_waiting_for_reply;Linux
2019021463000086; ;Anmeldung / Aktivierung;RICHM; Ich habe ein Problem beim Instalieren von den Bücher Ideal Produkt Bäckerei Kontitorei 1 und 2 und Confiseri. ICh kan mich ganz normal einlogen und ich komme reihn und kann alles Benutzen. Aber sobald ich die Bücher instalieren wiel zigt es mir eine Warnumg an das ich nicht eingelogt bin und alles nochmal überprüfen soll. ICh habe das einparmal versucht aber es kommt immer das Gleiche. Ich wünsche ihenen noch einen schönen Abend und bedanke mich schon im voraus für ihre Arbeit Mit Freundlichen Grüssen ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019021463000068; ;Geräteanzahl überschritten;SVBA; Mein Laptop wurde gestohlen ich bitte Sie die sämtliche Lizenzen zurück zu setzen damit ich mich neu anmelden kann. Besten Dank ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019021463000031; ;Anmeldung / Aktivierung;SVBA; Ich kann mich nicht mehr anmelden da ich mein passwort nicht mehr weis. und updatetes gehen nicht mehr seit version 5.4.8. Es lädt immer und dann kommt dêin error. bitte um möglichst schnelle antwort. Freunliche grüsse ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019021363000159; ;Anmeldung / Aktivierung;BEOOK;" Ich habe bezüglich des Lehrplan 21 einen Aktivierungscode qvvt-mj73-bdh9 erhalten. Wenn ich diesen eingebe erschient das Informationsfeld \""Code ungültig\"". Bitte teilen sie mir mit wie ich das Problem beheben kann. Freundliche Grüsse ";closed successful;Anmeldung - Hinweise für Aktivierung
2019021363000104; ;Anmeldung / Aktivierung;BEOOK;   Guten Tag Ich habe am vergangenen Sonntag eine Sicherheitskopie vom beook vorgenommen. Kurz darauf hat sich mein Mac Book total aufgehänkt die folge davon war ich musste den PC neu aufsetzen. Nun möchte ich die verschiedenen Bücher vom Beook wieder aktiviern. Dies war bisher ohne Erfolg da ihrgend ein Problem mit meiner Lizenz besteht. was nun? für ihre schnelle und ausführliche Hilfe bedanke ich mich bereitz jetzt. beste Grüsse Lukas Fasler Amn2016.6a Gibb Bern ;closed successful;Anmeldung - Hinweise für Aktivierung
2019021363000051; ;Fehler in der App;hep;Die E-Lehrmittel App braucht bei mir eine sehr lange Zeit um zu starten. Heute ca. 1 Stunde. Alles andere funktioniert aber gut auf meinem Laptop;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021363000024; ;Geräteanzahl überschritten;Swissmem;Habe aktuell kein aktives Gerät. Bitte alle Geräte deaktivieren.;closed_max_devices;Mac: Access Denied -> Cookies Virenscanner
2019021263000099; ;Anmeldung / Aktivierung;hep; Ich musste mein MacBook in meinen Sportferien komplett zurücksetzen da er nicht mehr reagierte und ich mich nicht mehr anmelden konnte auf meinem Macbook. Nun heute in der Schule Be-med Habe ich meinen Klassenlehrer gefragt wie ich vorgehen muss da mein e-Lernmittel durch den reset deinstalliert wurde. Er meinte ich solle es vom Internet erneut herunterladen und mich mit der Be-med E-Mail Adresse anmelden soll und es dann funktionieren sollte. Ich konnte mich erfolgreich anmelden das Prolem liegt dabei dass es mir keine verfügbaren e Lernmittel anzeigt und ich anscheinend wieder einen Coupon benötige. Herr Döring hat mir gesagt ich soll mich beim Support melden und darum bitten mich freischalten zu sollen. Ich hoffe das ist möglich da ich das e-Lernmittel benötige. Ich freue mich auf eine Antwort: Mein Konto: \ PW: Happygirl13 Vielen Dank & Freundliche Grüsse ;closed successful;Mac: Access Denied -> Cookies Virenscanner
2019021263000081; ;Geräteanzahl überschritten;RICHM;Ich habe mich zum ersten mal von Zuhause aus angemeldet und mir wird bei den Büchern nun angezeigt das die Geräteanzahl überschritten ist.;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019021163000055; ;Anmeldung / Aktivierung;hep;Fehler Meldung: Konto konnte nicht erstellt werden. Ich habe alle Felder ausgefüllt inklusive dem Code. ;closed_app_misuse;Mac: Access Denied -> Cookies Virenscanner
2019021163000046; ;Fehler in der App;VELEDES;meldung beook reagiert nicht trotz stabilem internet. ;closed_waiting_for_reply;Mac: Access Denied -> Cookies Virenscanner
2019021163000019; ;Geräteanzahl überschritten;BWZ; Anfangs meines Studiums ist mein Tablet kaputt gegangen. Ich habe das Beeok auf dem Handy und auf dem jetzigen neuen Tablet. Das Problem ist jetzt dass ich das einte Skript aus dem Anatomie Unterricht nicht mehr installieren kann weil das Beeok noch auf dem alten Tablet drauf war obwohl ich mich abgemeldet habe. Das alte Tablet habe ich nicht mehr. Was kann ich machen das ich das Skript trotzdem auf dem neuen Tablet herunterladen kann und nicht nur auf dem Handy. Es würde mir das lernen erleichtern. Freundliche Grüsse ;closed_waiting_for_reply;Linux
2019020963000014; ;Geräteanzahl überschritten;hep;Ich möchte gerne meine Lizenzen alle von diesem WIN10 gerät löschen um Sie auf einem neuen gerät zu aktiverien. ;closed_max_devices;Mac: Access Denied -> Cookies Virenscanner
2019020863000071; ;Anmeldung / Aktivierung;Swissmem; Ich kann nur auf einem Gerät in de Schule auf meine E-Books zugreifen. Beim Gerät zuhause kann ich ledigich den Auszug der bereits installierten E-Books ansehen. Wenn ich mich mit dem selben Namen einloge sollte ich doch mit verschiedenen Geräten auf die Vollversionen der E-Books zugreifen können oder? Wo liegt das Problem? Freundliche Grüsse Brülhart Beat ;closed_max_devices;Mac: Access Denied -> Cookies Virenscanner
2019020863000043; ;Fehler in der App;SVBA;Ich kann die Softwareversion 5.5 nicht instalieren. Während der Balken am Laden ist öfnet sich ein Fenster mit einer Error meldung. ;closed successful;Coupon einlösen Produkte nicht vorhanden
2019020863000034; ;Fehler in der App;SVBA; Ich kann leider nicht das Zeichnungs Program öffnen. Beim Versuchen das Updae zu machen verbindet es mich mit einer Internet seite wo steht NO FOUND ;closed_old_app_version;Coupon einlösen Produkte nicht vorhanden
2019020863000025; ;Fehler in der App;DIGINALE;Das Intro-Video lädt nicht. Wenn dies überhaupt nicht lädt befürchte ich dass der Rest auch nicht funktioniert.....;closed_waiting_for_reply;Linux
2019020863000016; ;Anmeldung / Aktivierung;hep;Ich habe einen Code für ein Lehrmittel und es hiess er wurde akzeptiert aber das E-Book ist nicht verfügbar.;closed successful;Mac: Access Denied -> Cookies Virenscanner
