name;text
App neu starten, Gerätezahl bei Subscription/Folgeauflage;Bitte starten Sie die App neu. Sodann wird Ihr Gerät neu registriert und Sie können das gewünschte ebook installieren.<br /><br />Sollte dies damit nicht behoben sein, so können Sie uns gerne noch einmal kontaktieren.<br /><br />Besten Dank im Voraus.
App unvollständig initialisiert, db und Catalog löschen;"Offenbar ging etwas schief als Sie die App das erste mal gestartet hatten. Es wurden Teile der Konfigurationen nicht vom Server geladen und nun befindet sich das Arbeitsverzeichnis in einem unvollständigen Zustand.<br /><br />Bitte gehen Sie wie folgt vor:<ol>	<li>Löschen Sie das Arbeitsverzeichnis der App	<ol>		<li>Gehen Sie dazu in die ""Einstellungen"" der App und dort zu ""Arbeitsverzeichnis | Backup""</li>		<li>Hier finden Sie in der dritten Zeile einen Knopf [Extern öffnen]. Klicken Sie darauf. Es öffnet sich nun der Ordner des Arbeitsverzeichnisses.</li>		<li>Schliessen Sie die App</li>		<li>Löschen Sie die folgenden Ordner		<ol>			<li>data</li>			<li>Catalog</li>			<li>resourceSynch</li>		</ol>		</li>	</ol>	</li>	<li>Starten Sie nun die App wieder</li>	<li>Dies dauert nun einwenig länger</li>	<li>Sie können jetzt alle Ihre lizenzierten ebooks neu installieren. Es genügt dazu ein Klick auf ""Alle installieren"". Dabei werden auch Ihre Annotationen wieder geladen, die zuvor exportiert wurden.</li></ol><br />Sollten Sie nach diesen Anweisungen immer noch Probleme haben, so senden Sie bitte nochmals eine neue Support-Anfrage aus der App, damit wir die neu übermittelte Log-Datei untersuchen können.<br />"
Auszugsmodus nach iOS Update;Nach der Aktualisierung der iPad App wurde Ihr Gerät nicht mehr erkannt. Wir haben das bisherige Gerät auf dem Lizenzserver ausgetragen.<br /><br />Bitte melden Sie sich nochmals in der App an um Ihr Gerät wieder freizuschalten. Gehen Sie dazu in das Portal (Haus-Symbol oben links) und wählen Sie sodann «Anmelden» (Symbol oben rechts). Sie brauchen nichts weiter einzugeben. Der Benutzername und das Passwort sollte noch gespeichert sein.<br /><br />Danach sollten Ihre Lehrmittel wieder voll verfügbar sein.
Benutzer gelöscht, Coupons zurückgesetzt;"Danke für die Rückmeldung.<br /><br />Wir haben nun ihre Coupons zurückgesetzt und das Benutzerkonto gelöscht. Sie können sich nun nochmals wie ganz zu Beginn neu registrieren und die Coupons einlösen. Danach sollte wieder alles korrekt funktionieren.<br /><br />Falls Sie mehrere Geräte nutzen müssen Sie sich dort abmelden und wieder neu anmelden.<br /><br />Falls Sie die beook Cloud genutzt haben, dann achten Sie darauf eine komplette Synchronisation mit der Cloud durchzuführen damit auch die anderen Geräte wieder den gleichen Stand haben.<br />&nbsp;"
Benutzername angepasst;"Wir haben Ihren Benutzernamen wie gewünscht angepasst.<br /><br />Er lautet nun wie folgt:<br /><br />Bitte beachten Sie die korrekte Gross-/Kleinschreibweise.<br /><br />Sie müssen diesen nun auch in der App noch richtig setzen. Dazu gehen Sie wie folgt vor:<ol>	<li>Gehen Sie in der App ins Portal (Haus Symbol)</li>	<li>Klicken Sie oben rechts auf die Email Adresse oder Ihren Benutzernamen</li>	<li>Klicken Sie auf Abmelden</li>	<li>Wählen Sie die Option «Gerät abmelden» und bestätigen Sie dies mittels dem Knopf «Abmelden»</li>	<li>Nun können Sie sich mit ihren neuen Benutzernamen sowie Ihrem Passwort wieder anmelden.</li>	<li>Falls Sie Ihr Passwort nicht mehr kennen, dann nutzen Sie die «Passwort vergessen» Funktion unterhalb der Anmeldemaske.</li></ol>Wir gehen davon aus dass es so klappt. Ansonsten senden Sie bitte nochmals eine neue Support-Anfrage die wir umgehend beantworten werden.<br /><br />&nbsp;"
Benutzername angepasst (FR);"Nous avons adapté votre nom d'utilisateur selon vos souhaits.<br /><br />Il se lit maintenant comme suit :<br /><br />Veuillez noter les majuscules/minuscules correctes.<br /><br />Maintenant, vous devez également le paramétrer correctement dans l'application. Pour ce faire, procédez comme suit :<ol>	<li>Allez dans l'application du portail (icône de la maison)</li>	<li>Cliquez sur l'adresse e-mail ou votre nom d'utilisateur dans le coin supérieur droit.</li>	<li>Cliquez sur Se désabonner</li>	<li>Sélectionnez l'option ""Déconnexion de l'appareil"" et confirmez avec le bouton ""Déconnexion"".</li>	<li>Vous pouvez maintenant vous reconnecter avec votre nouveau nom d'utilisateur et votre nouveau mot de passe.</li>	<li>Si vous ne connaissez plus votre mot de passe, utilisez la fonction ""Mot de passe oublié"" sous l'écran de connexion.</li></ol><br />Nous supposons que ça marche. Dans le cas contraire, veuillez nous envoyer une nouvelle demande d'assistance à laquelle nous répondrons immédiatement.<br />&nbsp;"
Benutzername nicht gefunden, Coupon Code schicken;"Wir können kein Benutzerkonto mit Ihrer E-Mail Adresse im System finden. Haben Sie bereits ein Benutzer-Konto angelegt?<br /><br />Wie dies geht finden Sie hier dokumentiert: <a href=""https://beook.ch/cms/tiki-index.php?page=Anmelden+-+beook+Konto+erstellen"">Anmelden - beook Konto erstellen</a><br /><br />Danach können Sie den/die Coupon-Codes eingeben und die ebooks installieren.<br /><br />Falls hingegen bereits ein Konto erstellt haben, dann senden Sie uns die Angabe von einem Ihrer Coupon-Codes (die 12-stellige Nummer im Format xxxx-xxxx-xxxx). So können das Konto erruieren."
Benutzername nicht gefunden, Coupon Code schicken [FR];"Nous ne trouvons pas de compte utilisateur avec votre adresse e-mail dans le système. Avez-vous déjà créé un compte utilisateur ?<br /><br />Comment cela fonctionne est documenté ici : <a href=""https://beook.ch/cms/tiki-index.php?page=Login%2B-%2BCr%25C3%25A9er%2Bun%2Bcompte%2Bbeook"">Login - Créer un compte beook</a><br /><br />Ensuite, vous pouvez entrer le(s) code(s) coupon(s) et installer les ebooks.<br /><br />Si vous avez déjà créé un compte, veuillez nous envoyer les détails de l'un de vos codes promo (le numéro à 12 chiffres au format xxxx-xxxxxx-xxxxxx). Ainsi nous pouvons trouver votre compte.<br /><br />&nbsp;"
beook Cloud synchronisieren;"Da handelt es sich offenbar um ein fehlende Synchronsation mit der beook Cloud. Stellen Sie bitte sicher dass Sie auf dem ersten Gerät jeweils eine komplette Synchronisation durchführen bevor Sie auf dem anderen Gerät weiterfahren.<br /><br />Es ist wichtig zu verstehen, wann beook mit der Cloud synchronisiert. Dies erfolgt jeweils beim Wechseln eines Kapitels oder Buches sowie beim Schliessen und Starten der App. Doch dazu müssen Sie zwingend auch eine Internetverbindung haben.<br /><br />Mögliche Fehler für eine unvollständige Synchronisation sind:<br /><br />- Keine Internetverbindung<br />- Kapitel nicht gewechselt<br />- App nicht ordnungsgemäss geschlossen<br />- Beim Öffnen das Kapitel nicht nochmals in dieses gewechselt nachdem fertig synchronisiert wurde.<br />- Nicht den selben Benutzer auf beiden Geräten verwendet<br /><br />Bitte prüfen Sie die obigen Schritte. Vermutlich werden die Annotationen nach einem nochmaligen Versuch dann erscheinen.<br /><br />Ansonsten müssten Sie von beiden betroffenen Geräten nochmals je eine Support-Anfrage senden und uns den Zeitpunkt mitteilen wann Sie die Annotationen auf dem ersten Gerät erstellt haben und wann Sie diese auf dem zweiten Gerät vermisst haben. Bitte auch erwähnen welches Gerät das erste und das zweite war in diesem Fall.<br />&nbsp;"
beook Datenbank übermitteln;"<p>Damit wir das Problem genauer untersuchen können benötigen wir die Daten Ihrer App. Wäre es Ihnen möglich, uns diese zur Verfügung zu stellen? Wir garantieren einen vertrauensvollen Umgang damit.</p><p>Sie können aus beook&nbsp;einen Backup Ihrer Daten als Zip verpacken und uns anschliessend via Daten-Transfer zukommen lassen, z.B. via&nbsp;https://www.wetransfer.com oder einem&nbsp;Ihnen vertrauten Cloud-Service.</p><ol>	<li>Erstellen Sie einen neuen Ordner auf dem Desktop oder an einem anderen Ort für den Sie Schreibrechte besitzen.</li>	<li>Gehen Sie zu den Einstellungen in der App und wählen Sie dort «Backup | Arbeitsplatz» aus.</li>	<li>Dann wählen Sie unter «Exportieren nach» mittels dem Knopf «Browse ...» den bei Punkt 1 erstellten Ordner aus.</li>	<li>Klicken Sie nun auf «Exportieren / Backup». Allfällige Warnungen können mit «Ja» bestätigt werden.</li>	<li>Der Ordner sollte nun drei Elemente enthalten: einen Ordner «data», einen Ordner «synch» und eine Datei «User_Default.properties».&nbsp;Zippen Sie den&nbsp;Ordner über Rechtsklick «Komprimieren» respektive «Zu Archiv hinzufügen».</li>	<li>Übermitteln Sie uns die Zip-Datei mit dem oben erwähnten Cloud-Service, da die Datei&nbsp;für einen E-Mail-Versand zu gross ist.</li>	<li>Geben Sie uns&nbsp;kurz mit einer Antwort auf diese&nbsp;E-Mail über den Versand&nbsp;Bescheid.</li></ol><p><br />Herzlichen Dank für Ihre Unterstützung. Wir melden uns umgehend mit einer Lösung.</p>"
beook Datenbank übermitteln (FR);"<p>Pour mieux examiner le problème, nous avons besoins les données de votre application. Serait-il possible de nous mettre vos données à disposition? Nous garantissons la&nbsp;confidentialité totale.<br /><br />Vous pouvez facilement créer une sauvegarde de vos données de beook et nous la transmettre via service cloud, par exemple via&nbsp;https://www.wetransfer.com ou un autre service cloud de votre choix. Voici la marche à suivre:</p><ol>	<li>Créez un nouveau dossier sur votre bureau ou un autre endroit avec droit d'écriture.</li>	<li>Ouvrez les préférences dans l'application et choissisez «Backup | Répertoire de travail».</li>	<li>Cliquez sous «Exporter / Sauvegarder» sur le bouton «Browse …», séléctionnez votre dossier créé au point 1.</li>	<li>Cliquez sur le bouton&nbsp;«Exporter / Sauvegarder». Une alerte potentielle peut être confirmé avec «oui».</li>	<li>Créez un fichier zip de ce dossier qui devrait maintenant contenir trois éléments: un dossier «data», un dossier «synch» et un fichier «User_Default.properties».&nbsp;</li>	<li>Transmettez nous ce fichier zip via un service cloud, car la taille du fichier dépasse les limites pour un envoie&nbsp;par email.</li>	<li>Avertissez nous avec une réponse à cette email de&nbsp;l'envoie.</li></ol><p>Merci beaucoup pour votre coopération. Nous allons chercher une solution le plus rapide possible.</p>"
beook neu installieren, Windows Rechte;"Es gibt manchmal auf Grund von Systemrechten unter Windows Probleme mit der automatischen Aktualisierung der App. Sie können die neueste Version von der Webseite herunterladen und in den selben Ordner wie bisher installieren. Beenden Sie zuvor die laufende App. Ihren Daten bleiben dabei bestehen.<br /><br />Dies ist der Link zum Download: http://beook.ch/download<br /><br />Sollte das Problem weiterhin auftreten, so senden Sie bitte wieder eine neue Support-Anfrage unter dem Menupunkt ""Hilfe"", damit wir es in der mitgesendeten Log-Datei untersuchen können.<br /><br />&nbsp;"
beook RCP: Workspace löschen;Möglicherweise hat die App fehlerhafte Einstellungen die sich nur mit einer kompletten Deinstallation der Daten beheben lassen. Dabei gehen aber alle Ihre bereits erbrachten Annotationen, Aufgaben und Lesezeichen verloren. Wenn Sie diese wieder nutzen möchten, so geben Sie uns Bescheid. Wir können diese dann Anweisungen geben wie Sie diese vom Backup-Ordner zurückladend.<br /><br />Die App besteht aus zwei Teilen: Dem Programmverzeichnis und dem Arbeitsverzeichnis. Im Arbeitsverzeichnis befinden sich ihre installierten ebooks sowie die Einstellungen. Wenn Sie nun das Arbeitsverzeichnis bei geschlossener App umbenennen, dann initialisiert die App beim nächsten Start alles komplett neu.<br /><br />Das Arbeitsverzeichnis befindet sich in einem geschützten Bereich. Öffnen Sie mit Windows den Dateimanager und geben Sie in der Zeile oben folgendes ein: %APPDATA%<br /><br />Nun sehen Sie den Ordner beook. Benennen Sie diesen um zu beook.bak, damit Sie gegebenenfalls Ihre Annotationen wieder zurückladen könn.<br /><br />Starten Sie nun die App neu. Sie müssen sich nun wieder anmelden und alle Ihre ebooks wieder installieren.<br /><br />Ist das Problem damit behoben? Wenn nicht, so senden Sie bitte nochmals eine neue Support-Anfrage damit wir die neuen Log-Dateien auswerten können.
beook, keine Admin Rechte notwendig;Besten Dank für Ihre Support-Anfrage.<br /><br />beook benötigt keine Administratorenrechte zur Ausführung. Das Installationsprogramm verwendet solche Rechte, falls verfügbar, jedoch nicht die App selbst.<br /><br />Es könnte jedoch sein dass in Ihrer Unternehmung oder Schule eine entsprechende Policy (UAC) definiert ist, welche solche Rechte erzwingt für selbst installierte Programme. In diesem Fall müssten Sie sich mit einem System-Administrator Ihrer Unternehmung/Schule in Verbindung setzen.<br /><br />Ich hoffe Sie können mit diesem Hinweis das Problem lösen.
beook, keine Admin Rechte notwendig (FR);"Merci pour votre demande de support.<br /><br />beook n'exige pas de droits d'administrateur pour l'exécution. Le programme d'installation utilisera ces permissions, si elles sont disponibles, mais pas l'application elle-même.<br /><br />Cependant, il se peut que votre entreprise ou votre école ait défini une politique (UAC) qui fait respecter ces droits pour les programmes auto-installés. Dans ce cas, vous devez contacter un administrateur système de votre entreprise/école.<br /><br />J'espère que vous pourrez résoudre le problème avec cet indice.<br />&nbsp;"
beook: 4.5.1 Update Bug Neuinstallation;Ihre Installation ist leider unvollständig. Wir bitten Sie daher, beook neu zu installieren.<br />Die Versions-Nummer bleibt 4.5.1. Laden Sie die aktuelle Datei von www.beook.ch/download herunter.<br /><br />Sie können die neue Version in den selben Ordner wie zuvor installieren, standardmässig liegt die App unter C:/Apps/beook. Ihre Daten bleiben erhalten, da sie sich nicht im Programmordner befinden.<br /><br />Danach sollten Sie sich mit dem bisher bekannten Passwort wieder anmelden können. Gegebenenfalls können Sie auch ein Passwort-Zurücksetzen auslösen.<br />Sollte dies nicht zum Ziel führen so senden Sie bitte nochmals eine Support-Anfrage damit wir die neue Log-Datei untersuchen können.
beook: Demo Buch (FR);"Chère Madame/Monsieur<br /><br />Vous avez probablement vu l'ebook préchargé de beook. C'est que une example.<br /><br />Pour installer votre ebook, cliquez sur l'icône en haut à gauche, puis entrez vos informations d'identification, email, mot de passe et code d'activation. Ensuite, installez le ebook acquis par ""Installer"". Ensuite, vous pouvez l'ouvrir.<br /><br />Cordialement"
beook: Demo Buch (IT);Gentile signora<br /><br />L’ebook “beook - the book” è un ebook campione che esemplifica le varie opzioni con l’applicazione beook. Questo e solo disponibile in tedesco al momento.<br /><br />Clicchi sulla icona in alto a sinistra (casa) e di nuovo in alto a sinistra (tre foglie) per andare al portale dei mandanti. Scelga il mandante di cui ha ricevuto il foglio di licenza dopo aver comprato il Suo ebook. Adesso sono visibili tutti gli ebooks di questo mandante. Scelga la Sua lingua. Se è già registrata, poù scaricare l’ebook, se no si prega di registrarsi: Clicchi sull’icona di una persona in alto a destra, inserisca il Suo indirizzo email, una password a scelta e il codice di attivazione scritto sul foglio di licenza.<br /><br />Cordiali saluti
beook: Mac Workspace löschen, ohne Backup;"Wir haben Ihre Support-Anfrage erhalten, besten Dank.<br /><br />Es scheinen inkonsistente Daten heruntergeladen zu sein. Bitte gehen Sie wie folgt vor, um die Daten nochmals neu zu laden:<br /><br />1. Schliessen Sie die beook App<br />2. Öffnen Sie den Finder auf Ihrem Mac und löschen Sie im Home-Verzeichnis den Ordner beook<br />3. Starten Sie nun beook erneut. Dies dauert anfangs etwas länger<br />4. Melden Sie sich mit Ihrem bereits existierenden Benutzerkonto an<br />5. Laden Sie alle ebooks auf Ihr Gerät, mittels ""Alle installieren"".<br /><br />Sofern es nicht klappen sollte senden Sie bitte eine neue Support-Anfrage, damit wir die Log-Datei wieder prüfen können.<br /><br />Besten Dank und freundliche Grüsse<br /><br />&nbsp;"
beook: Mac Workspace löschen, ohne Backup FR;"Nous avons reçu votre demande de soutien, merci beaucoup.<br /><br />Cependant, des données incohérentes semblent avoir été téléchargées. Veuillez procéder comme suit pour recharger à nouveau les données :<br /><br />1. Fermer l'application beook<br />2. Ouvrez le Finder sur votre Mac et supprimez le dossier beook dans votre répertoire personnel.<br />3. Redémarrez beook maintenant. Cela prendra un peu plus de temps au début.<br />4. Connectez-vous avec votre compte d'utilisateur déjà existant<br />5. Téléchargez tous les ebooks sur votre appareil en utilisant ""tout installer"".<br /><br />Si cela ne fonctionne pas, veuillez envoyer une nouvelle demande d'assistance afin que nous puissions vérifier à nouveau le fichier journal.<br /><br />Mille mercis et salutations cordiales<br />&nbsp;"
beook: Neue Version installieren RCP;"Besten Dank für Ihre Anfrage. Wir haben gesehen dass Sie eine alte Version von beook verwenden. Die neueste Version hat zahlreiche Fehlerkorrekturen und Verbesserungen. Wir empfehlen diese Version zu installieren.<br /><br />Sie können die neueste Version von der Webseite herunterladen und in den selben Ordner wie bisher installieren. Beenden Sie zuvor die laufende App.<br /><br />Dies ist der Link zum Download: http://beook.ch/download<br /><br />Sollte das Problem weiterhin auftreten, so senden Sie bitte wieder eine neue Support-Anfrage unter dem Menupunkt ""Hilfe"", damit wir es in der mitgesendeten Log-Datei untersuchen können."
beook: Neue Version installieren RCP (FR);Merci beaucoup pour votre demande. Nous avons constaté que vous utilisez une ancienne version de beook. La version la plus récente contient des améliorations au niveau d'erreur d'application et offre une fonctionnalité élargie. Nous vous recommandons d'actualiser beook.<br /><br />Vous pouvez téléchargé la version la plus récente du site web<br /><br />http://beook.ch/download<br /><br />Arrêtez le logiciel beook et installez la nouvelle application dans le même dossier où l'ancienne version se trouve.<br /><br />En cas de problèmes récurrents, nous vous prions de nous envoyer une nouvelle demande de support via le menu «Aide». Ainsi nous recevons automatiquement un fichier log qui nous aidera à trouver le problème et donc nous permettra de le résoudre.
beook: RCP neu installieren, abmelden;"Besten Dank für die Support-Anfrage. Wir haben die Protokolldatei untersucht und darin Probleme mit der Anmeldung festgestellt. Versuchen Sie ihren Benutzeraccount aufzufrischen.<ol>	<li>Dazu gehen Sie in das Portal der App (Haus-Symbol in der Seitenleiste oben links).</li>	<li>Dort klicken Sie oben rechts auf Ihren Benutzer (Name oder Email mit Symbol).</li>	<li>Stellen Sie sicher dass Sie über eine Internetverbindung verfügen.</li>	<li>Stellen Sie sicher dass Sie angemeldet sind. Falls nicht so melden Sie sich zuerst an. Wenn Sie Ihr Passwort nicht mehr kennen so können Sie dieses zurücksetzen mit dem Link unterhalb des Anmelden Knopfes.</li>	<li>Nun frischen Sie Ihren Account und Ihre Installation auf. Dies können Sie tun indem Sie auf den runden Pfeil grauen in Ihrem Benutzeraccount klicken.</li>	<li>Nach einer Weile wird der Vorgang abgeschlossen.</li></ol><br />Sollte sich das Problem mit diesem Vorgang nicht lösen lassen empfehlen wir eine Neuinstallation der App. Es gibt manchmal auf Grund von Systemrechten unter Windows Probleme mit der automatischen Aktualisierung der App. Sie können die neueste Version von der Webseite herunterladen und in den selben Ordner wie bisher installieren. Beenden Sie zuvor die laufende App. Ihren Daten bleiben dabei bestehen.<br /><br />Dies ist der Link zum Download: <a href=""http://beook.ch/download"" target=""_blank"" title=""http://beook.ch/download"">http://beook.ch/download</a><br /><br />Sollte das Problem weiterhin auftreten, so senden Sie bitte wieder eine neue Support-Anfrage unter dem Menupunkt ""Hilfe"", damit wir es in der mitgesendeten Log-Datei untersuchen können. Falls das Problem behoben ist wären wir über eine kurze Rückmeldung froh.<br />&nbsp;"
beookCloud verbinden;"Wir haben im Protokoll ihrer App festgestellt, dass Sie noch mit keinem Cloud-Dienst verbunden sind.<br /><br />Für die Synchronisation Ihrer Annotationen und für Teilen-Funktion von Inhalten (Gruppen beitreten, Sendungen empfangen) müssen Sie mit der <strong>beook Cloud</strong> verbunden sein.<br /><br />Eine detaillierte Anleitung zum Verbinden mit einem Cloud-Dienst finden Sie hier:<br /><a href=""https://beook.ch/cms/tiki-index.php?page=Cloud&amp;structure=Cloud"">Dokumentation Cloud</a><br /><br />Beachten Sie: Beim Abmelden (nach einer erfolgreichen Synchronisation mit der Cloud) werden auch die Synchronisations-Einstellungen zurückgesetzt. Das heisst, falls Sie sich erneut in der App mit Ihrem Benutzernamen und Passwort anmelden, müssen Sie sich auch erneut mit der Cloud verbinden."
Bild-Editor öffnen;"Danke für Ihre Support-Anfrage.&nbsp;Zum öffnen des Bildeditors, rufen Sie zuerst das Bild mit einem Doppelklick auf. Danach aktivieren Sie unten links das Bearbeiten-Symbol zum öffnen des Editors (siehe Screenshot).<br /><br /><attachment></attachment><br /><br />Alternativ können Sie in den Einstellungen der App bestimmen, dass der Editor&nbsp;per Doppelklick auf ein Bild direkt öffnet (siehe Screenshot).<br /><br /><attachment></attachment><br />&nbsp;"
Bildeditor Rechtsklick;"Wenn Sie mit zwei Bildschirmen arbeiten oder unter Windows einen Zoom der Anzeige definiert haben, kann es vorkommen dass der Doppelklick nicht erkannt wird.<br /><br />Dazu gibt es in beook eine Alternative. Klicken Sie mit der rechten Maustaste auf das Bild. dann öffnet sich ein Kontextmenu. Dort können Sie direkt die Operation wählen, u.a. auch die Bearbeitung des Bildes mit dem Sketchpad oder SVG Editor.<br /><br />&nbsp;"
