ticket,type,client,issuer,inquiry,state,meta,answer
2015083163000050,Anmeldung / Aktivierung,WINGS,3,ich habe ein problem mit der freischaltung der lizenzen meiner ebooks zu wings lernmedien. ich sollte meine ebooks auf 3 verschiedene geräte freischalten können jedoch konnte ich sie nur auf zwei geräte herunterladen 2 windows-versionen. besten dank. freundliche grüsse marc jeanneret,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.5 | First install: 2015-08-31 19:57:13 MESZ | Last install: | Application starts: 1 | Unique Device : 3e81f05c0ff28007734ae5593819942e | ,Anmeldung mit falscher E-Mail
2015090163000060,Anmeldung / Aktivierung,hep,3,"falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. aktivieungscode: 3f36cd3ffb63 ich besitze das buch 1 w+g lehrmittel für die kaufmännische grundbildung im 1. lehrjahr. bei \""meine e-lehrmittel\"" erscheint jedoch das buch \""allgemeinbildung\"". ",closed successful,App: eLehrmittel 3.2.0 | Model: 8 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-08-25 21:32:04 MESZ | Last install: | Application starts: 2 | Unique Device : 9172536a333cbc0fa08c7c73da457d38 | ,Anmeldung mit falscher E-Mail
2015090363000030,Anmeldung / Aktivierung,BEOOK,3,ich habe mein login vergessen. mein aktivierungscode ist: y9eh-juzy-ypbe können sie mich freischalten oder mein login bekannt geben?,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-31 11:09:10 MESZ | Last install: 2015-09-03 11:59:57 MESZ | Application starts: 3 | Unique Device : 083fdad65325f1adb989e0c9e8785e2a | ,beook RCP: Workspace löschen
2015090463000070,Anmeldung / Aktivierung,RICHM,3,"ich habe schon mehrmals angerufen da ich ein problem hatte das meine lizenz \""abgelaufen sei! nun habe ich das selbe problem zum 4 mal! ich kann nur den auszug ansehen und nicht das ganze buch \""grundlagen konditorei confiserie\"". ich finde es sehr mühsam dass dieses problem immer noch nicht behoben ist und es nicht funktioniert auf dem ipad! ich bitte um eine schnelle lösung!",closed successful,User account exists: Yes | | App: beook v3.1.0 | Jailbroken: No | Model: iPad | Platform: iPad25 | System Name: iPhone OS | System Version: 8.0 | First install: 2014-10-29 21:19:15 MEZ | Application starts: 1 | Unique Device : bca58caf4892a14e0cd1a2ffe09f0288 | ,Anmeldung mit falscher E-Mail
2015090463000080,Anmeldung / Aktivierung,hep,3,ich habe versucht mich mit meinem cupon code die elehrmittel zu beziehen. auf der app hat der cupon code nicht funktioniert und auf ihrer webseite konnte ich mich nicht einloggen da mein password angeblich falsch ist. ich habe ein neus password per mail bekommen das auch als falsch angezeigt wurde. könnten sie mir bitte damit behilflich sein? freundliche grüsse,closed successful,User account exists: Yes | | App: eLehrmittel ABU v3.1.4 | Jailbroken: No | Model: iPad | Platform: iPad44 | System Name: iPhone OS | System Version: 8.4.1 | First install: 2015-08-20 18:05:56 MESZ | Application starts: 1 | Unique Device : 29a404bfb654afe8dfebd075b0d1ab23 | ,beook RCP: Workspace löschen
2015090563000020,Anmeldung / Aktivierung,hep,3,ich habe mein passwort vergessen könnten sie mir ein neuses senden.,closed successful,App: eLehrmittel 3.2.0 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-23 19:46:39 MESZ | Last install: | Application starts: 4 | Unique Device : 686cb3d459309aaac9a880f44e008af7 | ,Benutzername angepasst
2015090863000010,Anmeldung / Aktivierung,hep,3,mein ipad hatte einen defekt und löschte somit mein elehrmittel. nun muss ich meinen coupon-code eingebender ich vor einem jahr bekommen habebeim runterladen dieser app. leider habe ich diesen coupon-code verlegt und brauche einen neuen. freundliche grüße,closed successful,User account exists: Yes | | App: eLehrmittel ABU v3.1.4 | Jailbroken: No | Model: iPad | Platform: iPad34 | System Name: iPhone OS | System Version: 8.4.1 | First install: 2015-09-07 07:51:53 MESZ | Application starts: 0 | Unique Device : 1de3324f87bbbe573199fc943e8e4637 | ,Anmeldung mit falscher E-Mail
2015090963000070,Anmeldung / Aktivierung,WINGS,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. da ich ein paar mal versucht habe mich anzumelden geht nun mein aktivierungscode nicht mehr. wäre es möglich einen neuen zu erhalten? mein aktueller code lautet: urgp-3shd-8wmc ich bedanke mich bereits jetzt für ihre hilfe. freundliche grüsse,closed successful,App: beook 3.3.1 | Model: 2 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-09-09 18:41:39 MESZ | Last install: | Application starts: 1 | Unique Device : b9ca7c9142919934067d71015095aadb | ,Anmeldung mit falscher E-Mail
2015091163000090,Anmeldung / Aktivierung,hep,3,"eigentlich war ich der meinung das ich mein neu erworbenes elehrmittel geografie wissen und verstehen richtig installiert hätte. dies war offensichtlich ein fehlurteil. denn plötzlich erschien das app-zeichen auf meinem ipad nur noch wie schwach eingefärbt mit der aufforderung ein update vorzunehmen. dies habe ich gemacht doch danach kam bei meinem elehrmittel die meldung das es sich bei meiner version um eine testversion handle und dass ich jetzt 10 seiten hätte ansehen können und dass mehr seiten für mich nicht zur verfügung ständen. mein hep-konto zeigt aber dass ich im besitz dieses elehrmittels bin. somit versuchte ich es erneut auf meinem ipad zu installieren leider ohne erfolg. ich habe mich in der elehrmittel-app neu angemeldet ging in die portalansicht häuschen oben links habe mich wiederum abgemeldet um mich nochmals neu anzumelden. jetzt hätte imeiner ansicht nach das herunterladen möglich sein sollen. stattdessen wurde ich aufgefordert den coupon-code einzugeben. dies habe ich dann versucht dieser wurde aber als\""ungültiger aktivierungscode\"" abgelehnt. womit ich in misslichen lage bin ein elehrmittel zu besitzen es aber nicht brauchen kann. mit bestem dank für ihre unterstützung und freundlichen grüßen dagmar hensel",closed successful,User account exists: Yes | | App: eLehrmittel ABU v3.1.4 | Jailbroken: No | Model: iPad | Platform: iPad48 | System Name: iPhone OS | System Version: 8.4 | First install: 2015-08-25 01:00:45 MESZ | Application starts: 0 | Unique Device : 9ff492dcf12e8dee448c22e87398d0cd | ,Auszugsmodus nach iOS Update
2015091863000050,Anmeldung / Aktivierung,hep,3,ich habe probleme mit der freigabe von gesellschaft c. es steht als meldung: code unglültig. das ist mein code : 04f3402cdb63 ich danke ihnen für ihre hilfe und ich hoffe es macht ihnen keine umstände!,closed successful,App: eLehrmittel 3.2.0 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-08-21 21:02:09 MESZ | Last install: | Application starts: 10 | Unique Device : 25de54e60503cec87c51b405cf423e3f | ,Benutzername angepasst
2015092163000040,Anmeldung / Aktivierung,WINGS,3,konto bereits aktiviert. dennoch keinen zugriff. anmeldetaten sind allerdings korrekt. bitte um hilfe. vielen dank. federica blumer,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-16 11:32:15 MESZ | Last install: 2015-09-01 07:14:55 MESZ | Application starts: 22 | Unique Device : 083fdad65325f1adb989e0c9e8785e2a | ,Anmeldung mit falscher E-Mail
2015092363000090,Anmeldung / Aktivierung,hep,3,ich kann die gesellschafts ausgabe b und die gesetzestexte 2015/16 nicht aktiviert obwohl ich 2 coupons bekommen habe von der schule. es steht dass diese ungültig sind.,closed successful,App: eLehrmittel 3.2.3 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.5 | First install: 2015-09-10 09:38:14 MESZ | Last install: 2015-09-22 18:52:46 MESZ | Application starts: 16 | Unique Device : 1fc92faafbabc6dae72d825f7fcd642a | ,Aktivierungscode falsch
2015092363000100,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. ich gebe den korrekten aktivierungs-code ein aber es kommt immer die meldung das mein aktivierungs-code falsch sei.,closed successful,App: eLehrmittel 3.2.0 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-20 17:56:12 MESZ | Last install: | Application starts: 3 | Unique Device : 4dd43dba278857cedbd4d1583fd8c25c | ,Benutzername angepasst
2015092463000020,Anmeldung / Aktivierung,WINGS,3,ich weiss mein passwort/benutzername nicht mehr. bitte helfen sie mir!! danke liebe grüsse,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-16 11:32:15 MESZ | Last install: 2015-09-01 07:14:55 MESZ | Application starts: 25 | Unique Device : 083fdad65325f1adb989e0c9e8785e2a | ,RICHM: Anmeldeprobleme - Reihenfolge
2015092463000050,Fehler in der App,VELEDES,3,bei mir werden die bilder in den zusatzaufgaben zum buch nicht angezeigt. was kann ich tun? habe den flash player schon heruntergeladen und aktualsiert.,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-09-24 05:24:54 MESZ | Last install: | Application starts: 5 | Unique Device : 55b2a3de916585efce514100938c98e3 | ,Benutzername angepasst
2015092463000070,Anmeldung / Aktivierung,BEOOK,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code wenn ich mich anmelden möchte geht es nichtweil es steht die aktivierung- code ist schon eingelöst.,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.1 | First install: 2015-09-24 18:51:18 MESZ | Last install: | Application starts: 1 | Unique Device : c89802400139eb4debd646fa2c538f02 | ,Anmeldung mit falscher E-Mail
2015092563000010,Anmeldung / Aktivierung,BEOOK,3,immer wenn ich mich im beook registrieren will kommt eine fehlermeldung das der benutzername oder das passwort falsch ist jedoch ich habe mich noch niemals im beook angemelded. mein aktivierungscode wäre dann: hydh-76qq-zezb bitte um hilfe danke und freundliche grüsse,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.3 | First install: 2015-09-02 21:05:29 MESZ | Last install: | Application starts: 4 | Unique Device : 6b6914c3715c20d62050d7dec1e1a327 | ,Anmeldung mit falscher E-Mail
2015093063000010,Anmeldung / Aktivierung,VELEDES,3,leider ist es mir zurzeit nicht möglich auf der software sich fehlerfrei anzumelden angeblich wurde bereits mein aktivierungscode schon verwendet obwohl ich das buch erst neu ausgepackt habe und dies eigentlich nicht möglich sein kann und bitte sie daher um hilfe. der aktivierungscode wäre wie folgt:,closed successful,App: beook 3.3.1 | Model: 8 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-09-02 12:43:14 MESZ | Last install: | Application starts: 44 | Unique Device : 1b18233b9d297723713cac3b984904ea | ,Benutzername angepasst
2015101863000010,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. es sagt meine email adresse sei bereits vorhanden.,closed successful,App: eLehrmittel 3.2.3 | Model: 8 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.5 | First install: 2015-10-18 10:49:18 MESZ | Last install: | Application starts: 1 | Unique Device : c65ef4486414b53d57f777e70c1039bc | ,Benutzername angepasst
2015101963000050,Anmeldung / Aktivierung,hep,3,ich habe das neue elehrmittel heruntergeladen jetzt kommt bei mir immer die meldung dass ich die 10 seiten angeschaut habe welche mir zur verfügung stehen. ich habe jedoch eine lizens von der schule aus wie kann ich diese probelm beheben. angemeltet bi ich mit meinem benutzerkonte der vorgänger version. vielen dank für ihre bemühung. freundliche grüsse,closed successful,App: eLehrmittel 3.2.3 | Model: 8 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2013-08-29 20:19:53 MESZ | Last install: 2015-10-19 17:40:33 MESZ | Application starts: 153 | Unique Device : 0478a8a97c5f53afcd132f467d5393c9 | ,beook RCP: Workspace löschen
2015102263000070,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. ich konnte mich mit dem code auf dem buch nicht anmelden. ich rief dann an und kam einen neuen code zugeschickt mit diesem ging es auch nicht. 1. code : 79e02aa81239,closed successful,App: eLehrmittel 3.2.3 | Model: 2 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-09-29 20:19:06 MESZ | Last install: | Application starts: 3 | Unique Device : c303f66a97f59f5337e725d3f48674e7 | ,Anmeldung mit falscher E-Mail
2015102663000010,Fehler in der App,Swissmem,3,sie haben nun die beschränkte anzahl seiten welche ihnen mit diesem ebook kostenlos zur verfügung stehen aufgerufen. sie können diese seiten zum testen der app und dem ebook weiterhin nutzen.,closed successful,App: Swissmem eBOOK 3.2.0 | Model: 4 cores | Platform: x86_64 | System Name: Mac OS X | System Version: 10.10.5 | First install: 2015-08-17 11:50:41 MESZ | Last install: | Application starts: 26 | Unique Device : c41ae67cd3b7cb3323e8c41e73386470 | ,Benutzername angepasst
2015102663000020,Anmeldung / Aktivierung,Swissmem,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. akbxujuf aktivierungscode funktioniert nicht,closed successful,App: Swissmem eBOOK 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-10-26 10:13:46 MEZ | Last install: | Application starts: 2 | Unique Device : 5ab7583f05b698c94fa010b59978f3d3 | ,Aktivierungscode falsch
2015102863000010,Anmeldung / Aktivierung,hep,3,ich habe nur die demoversion. stimmt etwas nicht mit meinem konto?,closed successful,App: eLehrmittel 3.2.3 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-08-23 15:25:51 MESZ | Last install: 2015-10-14 16:06:16 MESZ | Application starts: 21 | Unique Device : 5c029c6cb654472d19e4b69347beabd3 | ,RICHM: Anmeldung Performa
2015102863000020,Fehler in der App,Swissmem,3,"normenauzug kapitel 2.10.6: wenn ich auf \""teilen\"" klicke stürzt die app ab. fehler ist reproduzierbar. ",closed successful,User account exists: Yes | | App: Swissmem v3.3.0 | Jailbroken: No | Model: iPad | Platform: iPad34 | System Name: iPhone OS | System Version: 9.0.2 | First install: 2014-02-04 09:16:07 MEZ | Application starts: 7 | Unique Device : a754b6169b1f27b83526f2467bbb3adf | ,RICHM: Anmeldeprobleme - Reihenfolge
2015103063000050,Anmeldung / Aktivierung,RICHM,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. guten tag ich möchte von meinem laptop auf das samsung tablet 4 wechseln. wie muss ich vorgehen?,closed successful,App: beook 3.3.1 | Model: 8 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-08-22 16:11:59 MESZ | Last install: 2015-10-10 13:38:40 MESZ | Application starts: 13 | Unique Device : a57872b1c1ff663a024fb23a348d1446 | ,Anmeldung mit falscher E-Mail
2015103163000010,Fehler in der App,PHZH,3,ich hatte dieses problem schon einmal dass ich plötzlich nur noch 10 seiten benutzen konnte! 10 seiten kann ich lesen und beim rest steht:alle seiten des auszugs sind genutzt.,closed successful,User account exists: Yes | | App: beook v3.1.0 | Jailbroken: No | Model: iPad | Platform: iPad44 | System Name: iPhone OS | System Version: 9.1 | First install: 2015-01-24 12:50:35 MEZ | Application starts: 5 | Unique Device : ff41db5dae6438c9d9e66ffee72a98fd | ,Anmeldung mit falscher E-Mail
2015110363000100,Anmeldung / Aktivierung,hep,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. aktivierungscode: ba07903c9821,closed successful,App: eLehrmittel 3.2.0 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-09-01 15:53:13 MESZ | Last install: | Application starts: 5 | Unique Device : aa2e7ad9c42e268f927f78ac1307e5ff | ,Auszugsmodus nach iOS Update
2015110363000120,Anmeldung / Aktivierung,hep,3,mein benutzername und mein code funktionieren nicht.,closed successful,App: eLehrmittel 3.2.0 | Model: 2 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-09-01 15:50:14 MESZ | Last install: | Application starts: 4 | Unique Device : e5ab5ca84debdb760dd24516d59d65ef | ,Benutzername angepasst
2015110363000130,Anmeldung / Aktivierung,hep,3,mein code geht nicht und zeigt mir eine fehlermeldung an ungültiger code. mein code auf meinem buch ist 83f21d91090c. ich wäre froh um eine rückemail. freundliche grüsse,closed successful,App: eLehrmittel 3.2.3 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-09-01 15:52:07 MESZ | Last install: 2015-10-26 14:21:29 MEZ | Application starts: 6 | Unique Device : 65ba587718a32de18c610832b1a1106c | ,Auszugsmodus nach iOS Update
2015110363000150,Anmeldung / Aktivierung,hep,3,ich brauche eine neuen anmeldungscode es kommt immer ungültiger code. altes code; 4616d60984c0,closed successful,App: eLehrmittel 3.2.3 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-09-01 16:04:02 MESZ | Last install: 2015-11-03 15:58:25 MEZ | Application starts: 3 | Unique Device : 2adfed629b9a10c261658844d9a3f326 | ,Auszugsmodus nach iOS Update
2015110663000010,Anmeldung / Aktivierung,WINGS,3,das beook funktioniert nicht oder meine lizenz ist abgelaufen. ich gehe über die applikation auf dem desktop es öffnet sich aber ich kann mich nicht mehr anmelden und habe keinen zugriff auf die filme die ich schauen muss.,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 7 | System Version: 6.1 | First install: 2015-10-19 15:12:08 MESZ | Last install: | Application starts: 13 | Unique Device : 8cb369fa898edb3979edad8dfe4e8ecc | ,Anmeldung mit falscher E-Mail
2015111063000050,Anmeldung / Aktivierung,WINGS,3,ich habe bei der anmeldung ganz am anfang anstatt die e-mail einzugeben meinen namen eingegeben adelina celiku. ich glaube es liegt an dem dass ich mich in der schule bei beook nicht anmelden kann und immer steht dass der aktivierungscode bereits eingelöst worden ist. wie können wir vorgehen? freundliche grüsse,closed successful,App: beook 3.3.1 | Model: 4 cores | Platform: x86 | System Name: Windows 8 | System Version: 6.2 | First install: 2015-10-17 14:28:11 MESZ | Last install: | Application starts: 10 | Unique Device : 5b7d9f234048b54a1125614fcff72427 | ,Anmeldung mit falscher E-Mail
2015111363000020,Fehler in der App,hep,3,beta 2.0.12: interner browser stürzt bei jedem aufruf sofort ab,closed successful,App: eLehrmittel 2.0.12 | Model: 4 cores | Platform: armv7l | System Name: Linux | System Version: 3.4.39-2010469 | First install: 2015-09-16 15:55:18 MESZ | Last install: 2015-11-13 15:00:09 MEZ | Application starts: 12 | Unique Device : b882dd0369de009ca170dee497d96256 | ,"Windows: Netzwerkadresse, zufällige Hardwareadressen verwenden"
2015111363000040,Problem auswählen,hep,3,beta: ständige abstürze und hänger beim wechsel über schnellzugriffsleiste,closed successful,App: eLehrmittel 2.0.12 | Model: 4 cores | Platform: armv7l | System Name: Linux | System Version: 3.4.39-2010469 | First install: 2015-09-16 15:55:18 MESZ | Last install: 2015-11-13 15:00:09 MEZ | Application starts: 21 | Unique Device : b882dd0369de009ca170dee497d96256 | ,beook RCP: Workspace löschen
2015112363000020,Anmeldung / Aktivierung,RICHM,3,falls sie ein problem mit der anmeldung oder dem aktivierungs-code haben beschreiben sie bitte die fehlermeldung und geben sie ihren aktivierungs-code an. maximal anzahl möglicher geräte zum anmelden erreicht.,closed successful,App: beook 3.3.1 | Model: 2 cores | Platform: x86 | System Name: Windows Server 2008 R2 | System Version: 6.1 | First install: 2015-03-09 09:20:04 MEZ | Last install: 2015-09-19 08:11:55 MESZ | Application starts: 58 | Unique Device : 52a658a8f84a3e42363175a2ffcda0e7 | ,Anmeldung mit falscher E-Mail
2015112963000020,Anmeldung / Aktivierung,BEOOK,3,ich mache eine lehre zum bäcker -konditor und nutze somit das ebook. ich habe es auf meinem imac installiert und möchte es jetzt jedoch auf meinem ipad nutzen. könnten sie mir das ebook auf dem imac zurücksetzen? ich danke ihnen bereits im voraus. herzliche grüsse adrian reichmuth,closed successful,User account exists: Yes | | App: beook v3.4.3 | Jailbroken: No | Model: iPad | Platform: iPad44 | System Name: iPhone OS | System Version: 9.1 | First install: 2015-09-18 17:27:52 MESZ | Application starts: 0 | Unique Device : f113fa29e39705725e12765563fdc117 | ,Anmeldung mit falscher E-Mail
