Ticket Number,ticket,Customer,count of replies,ticket,ticket_state,ticket_template
2.02E+15,Geräteanzahl überschritten,BEOOK,1,Bitte das ipad aktiviert lassen und die anderen deaktivieren.,closed successful,5
2.02E+15,Geräteanzahl überschritten,SVBA,1,"In meinem Beook funktionieren die Inhalte des FR Fachrechenbuches nicht mehr. Es erscheint die Meldung ""Geräteanzahl überschritten"". Nach meinem Wissen ist dieses Lizenz jedoch nur auf meinem Lap Top (und sonst nirgends) installiert.Können SIe mit das FR-Buch wieder freischalten?",closed successful,2
2.02E+15,Anmeldung / Aktivierung,RICHM,1,"Ich wollte heute das beook auf meinem Laptop aktuallisieren. Trotz löschen des alten Programms und erneutem Download kann ich die neuste Version nicht auf meinem Laptop laden. Auf dem PC für die Schulung der Lernenden funktioniert es einwandfrei.Als Fehlermeldung wird ""Gerätezahl überschritten"" angegeben. Ich habe aber das beook nur auf dem Schulungspc und dem Laptop installiert, also zwei Geräte.Den Laptop benötige ich für eine Weiterbildung am 16. März in Bern.Wo liegt mein Fehler??",closed_waiting_for_reply,5
2.02E+15,Geräteanzahl überschritten,DIHK,1,"hab mir einen neuen Laptop gekauft und da steht, Geräteanzahl überschritten.Können sie mir helfen?",closed successful,5
2.02E+15,Fehler in der App,hep,1,",leider kann ich die integrierten Videos der App (Injektionen) auf meinem Endgerät (Laptop) nicht abspielen. Das Programm meldet folgende Fehlermeldung: ""no compatible source was found for this video"". Ich habe es sowohl mit Java als auch mit Adobe flash ausprobiert. Über Ihre Hilfe und einen Lösungsweg freue ich mich.",closed successful,5
2.02E+15,Enregistrement / Activation,RICHM,1,beook Konto abgemeldetneu restent mit 2 voir @noch einmal versuchtkonnte kein Richemont Benutzer erstellt werden.,new,5
2.02E+15,Anmeldung / Aktivierung,BWZ,1, Ich kann in meinem beook keine Lehrmittel ehr besichtigen. Bei meinen mitschühlern funktiorniert es ausser bei Dario auch nicht.So mit kann ich mich nicht mehr informieren und nicht vollständig in der Klasse mitarbeiten habe auch keinen aktivierungscood enthalten was muss und kann ich tun ?Ich habe vorhin auch direkt  bei euch angerufen. und man hat mich gbitet erneut eine subbrotanfrage zu machen.Liebe grüsse Boschung Nicole   Meine Mitschülerin schreibt auch wie besprochen eine subbrot anfrage bei ihr geht es. ,closed successful,4
2.02E+15,Anmeldung / Aktivierung,BWZ,1,"Guten Tag,Bei mir funktioniert das Beook tiptop. Ich schreibe im Auftrag von Nicole Boschung",closed successful,4
2.02E+15,Geräteanzahl überschritten,SVBA,1,"Geräteanzahl wurde überrschritten, ohne dass ein anderes Gerät verwendet wird.",closed successful,2
2.02E+15,Anmeldung / Aktivierung,BWZ,1,"Guten Tag Bei mir Funktioniert das Beook auch nicht wie bei Boschung Nicole. Sie hat vorhin micht euch telefoniert und dank einer erneuten Subbortanfrage , Durch Frau Hayoz Die Antwort gefunden. Was st das Problem Bei mir ? ",open,4
2.02E+15,Fehler in der App,SVBA,1,Ich habe einen Anzeige Fehler bei mehreren Büchern. Mir wird auch duch mehrmaliges aktualisieren keine Informationen bzw. die Azfaben die im Buch sind angezeigt. Ist es möglich das ich dies selber beheben kann?,closed successful,2
2.02E+15,Fehler in der App,SVBA,1,Bei mir funktioniert die App nicht richtig da ich in meinen BEOK Aufgaben zum teil nicht alles sehe also die App funktioniert nie richto wie sie solte.,closed successful,2
2.02E+15,Anmeldung / Aktivierung,DIHK,1,"Wie kann ich mein Passwort zuücksetzen, da ich es vergessen habe und somit mit dem Mac nicht anmelden kann.",closed successful,5
2.02E+15,Anmeldung / Aktivierung,DIHK,1,Ich werde  ein der IHK Hannover meinen Technischen Fachwirt schreiben und wüsste gerne wo ich meinen Aktivierungscode herbekommen kann.,new,4
2.02E+15,Fehler in der App,SVBA,1,Zeichnungen werden vom Inkscape manchmal nicht übernommen ausserdem verschwinden viele ausgefüllte sachen trotzder Synchronisierung der Cloud würde mich über eine schnelle Lösung freuen,closed successful,2
2.02E+15,Anmeldung / Aktivierung,VELEDESLK,1,"Wenn ich mich anmelde und den Aktivierungscode eingeben muss, steht dass ungültig ist.Mein Aktivierungscode ist: 8cur-mstc-8joe. Ich warte auf ihre Antwort. ",open,2
2.02E+15,Fehler in der App,DIGINALE,1,Besprochen mit Christian Heimann,closed_old_app_version,4
2.02E+15,Anmeldung / Aktivierung,hep,1,"Das Problem können wir nicht beheben, da die eLehrmittel nicht mehr erscheinen und kein Download möglich ist.Vielen Dank für die Hilfe.",closed_waiting_for_reply,5
2.02E+15,Geräteanzahl überschritten,BEOOK,1,"Offenbar habe ich die Geräteanzahl überschritten. Ich habe einen neuen Laptop gekauft und möchte mit dem Fachkundebuch auf dem neuen Laptop arbeiten. Was muss ich nun machen, damit ich Zugriff habe?",closed successful,1
2.02E+15,Anmeldung / Aktivierung,RICHM,1," hat das Kundenkonto erstellt.Das Ebookwurde freigeschaltet, konnte aber nicht instaliert werden.Fehlermeldung: mit diesem Benutzernahme kann kein ....",closed_waiting_for_reply,5
2.02E+15,Geräteanzahl überschritten,AGVS,1,Habe die Anzahl der zugelassenen Geräte überschrittenBitte löschen Sie das Sony Xperia Smartphon und das Samsung A7 Smartphone das nicht mehr verwendet wird. Achtung es ist ein neues A7 von Samsung in gebrauch. Danach sollten nur noch dieser PC und das neue A7 von Samsung zugriff haben.,closed_waiting_for_reply,4
2.02E+15,Anmeldung / Aktivierung,BEOOK,1,Ich habe eine Lizens unter dem Namen  und dem Aktivierungscode qcmh-38qp-6tp7Ich habe mich bereits auf einem gerät angemulden da es aber kabbut ist kann ich nicht ehr darauf zu greifen und würde gerne das das alte zurückgesetzt wirt das ich mich auf dem neuen Gerät anmelden kann. ,closed_waiting_for_reply,1
2.02E+15,Inhaltlicher Fehler,hep,1,Ich kann die alles klar Fragen meines Detailhandelkenntnis Buchs nicht sehen. Es kommt einfach nur weiss.,closed successful,5
2.02E+15,Anmeldung / Aktivierung,RICHM,1,"es kann nur ein Auszug geladen werdenDie Fehlermeldung war, mit dieser Mailadresse kein Konto.... mit diesem Gerät ....",closed_waiting_for_reply,5
2.02E+15,Fehler in der App,SVBA,1,Mein Arbeitsbuch PRÜFEN UND WARTEN VON FAHRZEUGEN funktioniert nicht! Ich komme nicht zu den Aufgaben.,closed successful,2
2.02E+15,Fehler in der App,BEOOK,1,Bitte beschreiben Sie möglichst genau wie es zu diesem Fehler kam. Mit welchen Schritten lässt sich der Fehler reproduzieren?Wie äussert sich der Fehler?gelöschte Daten,closed_waiting_for_reply,1
2.02E+15,Fehler in der App,SVBA,1,"Wenn in der App, z.B. nur Pflichtaufgaben anekgreuzt werden, sind beim Weschsel der Aufgaben oder Neutstart, dann wieder die Kür-Aufgaben auch angewählt. Gibt es das eine Möglichkeit, dasss diese Einstellunge nicht immer wieder verloren gehen?Zudem klappt beim Wechsel solcher Filter immer das ganze Menü auf und muss danach geschlossen werden.Das ist sehr mühsam.",closed successful,2
2.02E+15,Fehler in der App,BEOOK,1,"rBei jedem ersten Start von Beook (Heute 14:30) wird es vom Notebook auf inaktiv gesetzt und startet nicht einmal auf. Danach muss ich im Taskmanager das Programm beenden. Erst beim zweiten Mal startet Beook auf. Zudem wird es nach den ersten Paar Minuten wieder angehalten (Heute 14:43). Sobald ich es dann im Ressourcenmonitor wieder fortsetze, läuft es mehrheitlich stabil.",closed_waiting_for_reply,1
2.02E+15,Geräteanzahl überschritten,SFF,1,Entfernen der App vom I-Pad,closed_waiting_for_reply,5
2.02E+15,Geräteanzahl überschritten,BEOOK,1, I-pad,closed successful,1
2.02E+15,Inhaltlicher Fehler,COMPENDIO,1,"Der folgende Link im Buch ""Projektmanagement - Zertifizierung nach IPMA(ICB4)-Ebene D und C"" auf Seite 204 existiert nicht mehr:[1] http://www.schulz-von-thun.de/index.php?article_id=93",closed successful,0
2.02E+15,Inhaltlicher Fehler,SVBA,1,Formelsammlungkein geordnetes inhaltsverzeichniss man hat viel zulange bis man etwas findet es muss detailirter sein.Bitte nennen Sie den Titel des ebooks sowie die genaue Stelle des Fehlers.,closed successful,2
2.02E+15,Inhaltlicher Fehler,SVBA,1,das inhaltsverzeichniss ist viel zu undefiniert und man sollte es definitierter gestallten,closed successful,2
2.02E+15,Inhaltlicher Fehler,SVBA,1,Formel Buch ist ein einziges Chaso.Kein sauberes Inhaltsverzeichnis bitte ändern das man genau weis wo man was findet.,closed successful,2
2.02E+15,Inhaltlicher Fehler,SVBA,1,"Das Inhaltsverzeichniss ist zu wenig Detailiert man kann nicht jedes Thema einzeln anklicken, dies könnte sehr viel Zeit ersparen und weiter helfen falls man ein genaues Thema sucht",closed successful,2
2.02E+15,Inhaltlicher Fehler,BEOOK,1,"Das Formelbuch ""Formelsammlung Autoberufe"" ist unübersichtlich geordnet. Kapitel sollten separierter und genauer bezeichnet werden.",closed successful,1
2.02E+15,Inhaltlicher Fehler,SVBA,1,"Das Inhaltverzeichnis im Formelbuch ist schlecht. Es müsste viel detailierter sein, man muss auf anhieb gerade erkenne wo was ist. Ich habe am Test nicht ewigs Zeit. ",closed successful,2
2.02E+15,Geräteanzahl überschritten,BEOOK,1,"Da ich mir neulich einen neuen Laptop zulegen musste, weil mein alter defekt war, brauche ich einen neuen Aktivierungscode für das Programm. ",closed successful,1
2.02E+15,Anmeldung / Aktivierung,RICHM,1," hat das Kundenkonto erstellt.Das Ebookwurde freigeschaltet, konnte aber nicht instaliert werden.Fehlermeldung: mit diesem Benutzernahme kann kein ",closed_waiting_for_reply,5
2.02E+15,Geräteanzahl überschritten,AGVS,1,Habe die Anzahl der zugelassenen Geräte überschrittenBitte löschen Sie das Sony Xperia Smartphon und das Samsung A7 Smartphone das nicht mehr verwendet wird. Achtung es ist ein neues A7 von Samsung in gebrauch. Danach sollten nur noch dieser PC und das neue A7 von Samsung zugriff haben,closed_waiting_for_reply,4
2.02E+15,Anmeldung / Aktivierung,BEOOK,1,Ich habe eine Lizens unter dem Namen XX und dem Aktivierungscode qcmh-38qp-6tp7Ich habe mich bereits auf einem gerät angemulden da es aber kabbut ist kann ich nicht ehr darauf zu greifen und würde gerne das das alte zurückgesetzt wirt das ich mich auf dem neuen Gerät anmelden kann. ,closed_waiting_for_reply,1
2.02E+15,Inhaltlicher Fehler,hep,1,Ich kann die alles klar Fragen meines Detailhandelkenntnis Buchs nicht sehen. Es kommt einfach nur weiss.,closed successful,5
2.02E+15,Fehler in der App,SVBA,1,"Wenn in der App, z.B. nur Pflichtaufgaben anekgreuzt werden, sind beim Weschsel der Aufgaben oder Neutstart, dann wieder die Kür-Aufgaben auch angewählt. Gibt es das eine Möglichkeit, dasss diese Einstellunge nicht immer wieder verloren gehen?Zudem klappt beim Wechsel solcher Filter immer das ganze Menü auf und muss danach geschlossen werden.Das ist sehr mühsam.",closed successful,2
2.02E+15,Fehler in der App,BEOOK,1,"Bei jedem ersten Start von Beook (Heute 14:30) wird es vom Notebook auf inaktiv gesetzt und startet nicht einmal auf. Danach muss ich im Taskmanager das Programm beenden. Erst beim zweiten Mal startet Beook auf. Zudem wird es nach den ersten Paar Minuten wieder angehalten (Heute 14:43). Sobald ich es dann im Ressourcenmonitor wieder fortsetze, läuft es mehrheitlich stabil.",closed_waiting_for_reply,1
2.02E+15,Geräteanzahl überschritten,SFF,1,Entfernen der App vom I-Pad,closed_waiting_for_reply,5
2.02E+15,Geräteanzahl überschritten,BEOOK,1, I-pad,closed successful,1
2.02E+15,Inhaltlicher Fehler,COMPENDIO,1,"Der folgende Link im Buch ""Projektmanagement - Zertifizierung nach IPMA(ICB4)-Ebene D und C"" auf Seite 204 existiert nicht mehr:[1] http://www.schulz-von-thun.de/index.php?article_id=93",closed successful,0
2.02E+15,Inhaltlicher Fehler,SVBA,1,Formelsammlungkein geordnetes inhaltsverzeichniss man hat viel zulange bis man etwas findet es muss detailirter sein.Bitte nennen Sie den Titel des ebooks sowie die genaue Stelle des Fehlers.,closed successful,2
2.02E+15,Inhaltlicher Fehler,SVBA,1,das inhaltsverzeichniss ist viel zu undefiniert und man sollte es definitierter gestallten,closed successful,2
2.02E+15,Inhaltlicher Fehler,SVBA,1,Formel Buch ist ein einziges Chaso.Kein sauberes Inhaltsverzeichnis bitte ändern das man genau weis wo man was findet.,closed successful,2
2.02E+15,Inhaltlicher Fehler,SVBA,1,"Das Inhaltsverzeichniss ist zu wenig Detailiert man kann nicht jedes Thema einzeln anklicken, dies könnte sehr viel Zeit ersparen und weiter helfen falls man ein genaues Thema sucht",closed successful,2
2.02E+15,Inhaltlicher Fehler,BEOOK,1,"Das Formelbuch ""Formelsammlung Autoberufe"" ist unübersichtlich geordnet. Kapitel sollten separierter und genauer bezeichnet werden.",closed successful,1
2.02E+15,Inhaltlicher Fehler,SVBA,1,"Das Inhaltverzeichnis im Formelbuch ist schlecht. Es müsste viel detailierter sein, man muss auf anhieb gerade erkenne wo was ist. Ich habe am Test nicht ewigs Zeit.",closed successful,2
2.02E+15,Geräteanzahl überschritten,BEOOK,1,"Da ich mir neulich einen neuen Laptop zulegen musste, weil mein alter defekt war, brauche ich einen neuen Aktivierungscode für das Programm. Danke im Voraus.",closed successful,1
2.02E+15,Geräteanzahl überschritten,VSRT-BBZ,1,ich habe die maximalen anzahlen von meinen büchern erreicht jetzt habe ich einen neuen laptop und kann dort die schulbücher nicht downloaden. es steht immer maximale geräteanzahl überschritten wie kann ich die lizenz auf ein anderes gerät wechseln?,closed_max_devices,3
2.02E+15,Anmeldung / Aktivierung,SMS-SG,1,Hatte mein ipad bei der Reparatur und kann mich seit her nicht mehr anmelden und meine Bücher öffnen,closed_max_devices,2
2.02E+15,Inhaltlicher Fehler,hep,1,Gesellschaft B.Bei den Verstanden Fragen kommen immer die Wisensfragen. Wissen Sie was das Problem sein Könte ?Ich währe froh auf eine baldige Antwort.,closed successful,5
2.02E+15,Anmeldung / Aktivierung,BEOOK,1,,closed_app_misuse,1
2.02E+15,Geräteanzahl überschritten,SVBA,1,bei mir steht gerätenanzahl überschriten obwohl ich nur ein gerät habe!!!!,closed_max_devices,2
2.02E+15,Fehler in der App,VELEDES,1,die grösse der buchstaben lässt sich nicht verkleinern. die schrift  gross auf einer sehr niedrigen stuffe.,closed_waiting_for_reply,5
2.02E+15,Fehler in der App,SVBA,1,Ich komme nicht auf das Bild und kann nichts Anzeichnen.,closed_waiting_for_reply,2
2.02E+15,Fehler in der App,hep,1,"Ich kann Gesellschaft, Ausgabe B nicht mehr herunterladen. ""Das Kapitel Vorspann konnte nicht geladen werde"" ""Überprüfen sie ihre Internet Verbindung""Der Download wurde versucht mit 2 verschiedenen W-LAN netzwerken...",closed successful,5
2.02E+15,Inhaltlicher Fehler,RICHM,1,"Eigentlich habe ich keinen inhaltlichen Fehler. Gerne möchte ich wissen, welches Programm Sie empfehlen, um in die E-Books auf meinem Tablet einzelne Blätter mit Notizen oder Tagesabläufe einzufügen.Die Office-Angebote sind mir zu Teuer.",closed successful,5
2.02E+15,Login / Activation,BEOOK_TEST,1,Integration liefert kein cloudencryption key,closed successful,1
2.02E+15,Inhaltlicher Fehler,BEOOK,1,Ich kann nur 10 seiten nutzen,closed successful,1
2.02E+15,Login / Activation,BEOOK,1,Kann nicht registrieren mint neuem user,closed successful,1
2.02E+15,Inhaltlicher Fehler,hep,1,       Meine Coupon Code geht nich ,closed successful,5
2.02E+15,Inhaltlicher Fehler,hep,1,meine coupon-code geht nicht,closed successful,5
2.02E+15,Inhaltlicher Fehler,hep,1,"Im Lehrmittel ""Deutsch im ABU"", 3. Auflage gibt es bei der übung ""Beschreibung/Wortarten"" bei Kapitel Wortarten/Gross-Kleinschreibung übung 12 einen Fehler. Man kann nicht alle Textbausteine einfüllen. Es bleibt immer eines übrig.Vielen Dank für Ihre Antwort.",closed successful,5
2.02E+15,Inhaltlicher Fehler,hep,1,Nach Einlösen des Coupons (d7a3f42b2c7b) erscheint das Lehrmittel nicht in der App.,closed successful,5
2.02E+15,Inhaltlicher Fehler,hep,1,Ich musste mir für den Allgemeinbildungs Unterricht die Gesetzestexte kaufen und als eLehrmittel herunterladen. Jedoch kann ich jetzt im eLehrmittel bei dem Inhalt nur den Vorpann und die BV anw√§hlen. Ich habe es bereits neu Installiert doch das Problem ist wieder aufgetaucht. Bitte um eine baldige Antwort und vielen dank im Voraus.,closed successful,5
